"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
12.19,0.00002,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"416-20","Alloy 617",314626,"Plate"
15.30,0.00004,"Qualified",,0.04,"CapPass","Cycle 1",1,2,"416-20","Alloy 617",314626,"Plate"
18.54,0.00007,"Qualified",,0.07,"CapPass","Cycle 1",1,3,"416-20","Alloy 617",314626,"Plate"
22.10,0.00009,"Qualified",,0.10,"CapPass","Cycle 1",1,4,"416-20","Alloy 617",314626,"Plate"
25.60,0.00012,"Qualified",,0.14,"CapPass","Cycle 1",1,5,"416-20","Alloy 617",314626,"Plate"
29.30,0.00015,"Qualified",,0.17,"CapPass","Cycle 1",1,6,"416-20","Alloy 617",314626,"Plate"
33.37,0.00017,"Qualified",,0.20,"CapPass","Cycle 1",1,7,"416-20","Alloy 617",314626,"Plate"
37.44,0.00020,"Qualified",,0.23,"CapPass","Cycle 1",1,8,"416-20","Alloy 617",314626,"Plate"
40.96,0.00022,"Qualified",,0.24,"CapPass","Cycle 1",1,9,"416-20","Alloy 617",314626,"Plate"
44.53,0.00025,"Qualified",,0.26,"CapPass","Cycle 1",1,10,"416-20","Alloy 617",314626,"Plate"
48.15,0.00027,"Qualified",,0.29,"CapPass","Cycle 1",1,11,"416-20","Alloy 617",314626,"Plate"
51.83,0.00030,"Qualified",,0.31,"CapPass","Cycle 1",1,12,"416-20","Alloy 617",314626,"Plate"
55.64,0.00033,"Qualified",,0.34,"CapPass","Cycle 1",1,13,"416-20","Alloy 617",314626,"Plate"
59.00,0.00035,"Qualified",,0.37,"CapPass","Cycle 1",1,14,"416-20","Alloy 617",314626,"Plate"
62.11,0.00038,"Qualified",,0.40,"CapPass","Cycle 1",1,15,"416-20","Alloy 617",314626,"Plate"
65.62,0.00040,"Qualified",,0.44,"CapPass","Cycle 1",1,16,"416-20","Alloy 617",314626,"Plate"
69.62,0.00043,"Qualified",,0.47,"CapPass","Cycle 1",1,17,"416-20","Alloy 617",314626,"Plate"
73.38,0.00045,"Qualified",,0.49,"CapPass","Cycle 1",1,18,"416-20","Alloy 617",314626,"Plate"
77.35,0.00048,"Qualified",,0.52,"CapPass","Cycle 1",1,19,"416-20","Alloy 617",314626,"Plate"
80.96,0.00050,"Qualified",,0.54,"CapPass","Cycle 1",1,20,"416-20","Alloy 617",314626,"Plate"
