"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
12.75,0.00002,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"4-1-1","Alloy 617",314626,"Plate"
16.40,0.00004,"Qualified",,0.03,"CapPass","Cycle 1",1,2,"4-1-1","Alloy 617",314626,"Plate"
20.13,0.00007,"Qualified",,0.06,"CapPass","Cycle 1",1,3,"4-1-1","Alloy 617",314626,"Plate"
23.67,0.00010,"Qualified",,0.08,"CapPass","Cycle 1",1,4,"4-1-1","Alloy 617",314626,"Plate"
27.30,0.00012,"Qualified",,0.11,"CapPass","Cycle 1",1,5,"4-1-1","Alloy 617",314626,"Plate"
31.07,0.00015,"Qualified",,0.14,"CapPass","Cycle 1",1,6,"4-1-1","Alloy 617",314626,"Plate"
34.60,0.00017,"Qualified",,0.17,"CapPass","Cycle 1",1,7,"4-1-1","Alloy 617",314626,"Plate"
38.28,0.00020,"Qualified",,0.20,"CapPass","Cycle 1",1,8,"4-1-1","Alloy 617",314626,"Plate"
42.11,0.00022,"Qualified",,0.23,"CapPass","Cycle 1",1,9,"4-1-1","Alloy 617",314626,"Plate"
45.43,0.00025,"Qualified",,0.26,"CapPass","Cycle 1",1,10,"4-1-1","Alloy 617",314626,"Plate"
49.17,0.00027,"Qualified",,0.29,"CapPass","Cycle 1",1,11,"4-1-1","Alloy 617",314626,"Plate"
53.28,0.00030,"Qualified",,0.33,"CapPass","Cycle 1",1,12,"4-1-1","Alloy 617",314626,"Plate"
57.08,0.00032,"Qualified",,0.36,"CapPass","Cycle 1",1,13,"4-1-1","Alloy 617",314626,"Plate"
60.56,0.00035,"Qualified",,0.39,"CapPass","Cycle 1",1,14,"4-1-1","Alloy 617",314626,"Plate"
64.45,0.00037,"Qualified",,0.42,"CapPass","Cycle 1",1,15,"4-1-1","Alloy 617",314626,"Plate"
68.49,0.00040,"Qualified",,0.46,"CapPass","Cycle 1",1,16,"4-1-1","Alloy 617",314626,"Plate"
72.38,0.00043,"Qualified",,0.49,"CapPass","Cycle 1",1,17,"4-1-1","Alloy 617",314626,"Plate"
76.54,0.00045,"Qualified",,0.52,"CapPass","Cycle 1",1,18,"4-1-1","Alloy 617",314626,"Plate"
80.75,0.00048,"Qualified",,0.55,"CapPass","Cycle 1",1,19,"4-1-1","Alloy 617",314626,"Plate"
84.69,0.00050,"Qualified",,0.57,"CapPass","Cycle 1",1,20,"4-1-1","Alloy 617",314626,"Plate"
88.50,0.00053,"Qualified",,0.60,"CapPass","Cycle 1",1,21,"4-1-1","Alloy 617",314626,"Plate"
92.53,0.00055,"Qualified",,0.62,"CapPass","Cycle 1",1,22,"4-1-1","Alloy 617",314626,"Plate"
96.45,0.00058,"Qualified",,0.64,"CapPass","Cycle 1",1,23,"4-1-1","Alloy 617",314626,"Plate"
100.29,0.00060,"Qualified",,0.66,"CapPass","Cycle 1",1,24,"4-1-1","Alloy 617",314626,"Plate"
104.10,0.00063,"Qualified",,0.68,"CapPass","Cycle 1",1,25,"4-1-1","Alloy 617",314626,"Plate"
108.00,0.00066,"Qualified",,0.70,"CapPass","Cycle 1",1,26,"4-1-1","Alloy 617",314626,"Plate"
111.70,0.00068,"Qualified",,0.72,"CapPass","Cycle 1",1,27,"4-1-1","Alloy 617",314626,"Plate"
115.67,0.00071,"Qualified",,0.74,"CapPass","Cycle 1",1,28,"4-1-1","Alloy 617",314626,"Plate"
119.49,0.00073,"Qualified",,0.76,"CapPass","Cycle 1",1,29,"4-1-1","Alloy 617",314626,"Plate"
123.27,0.00076,"Qualified",,0.78,"CapPass","Cycle 1",1,30,"4-1-1","Alloy 617",314626,"Plate"
127.06,0.00078,"Qualified",,0.80,"CapPass","Cycle 1",1,31,"4-1-1","Alloy 617",314626,"Plate"
130.93,0.00081,"Qualified",,0.82,"CapPass","Cycle 1",1,32,"4-1-1","Alloy 617",314626,"Plate"
134.63,0.00083,"Qualified",,0.84,"CapPass","Cycle 1",1,33,"4-1-1","Alloy 617",314626,"Plate"
136.73,0.00085,"Qualified",,0.86,"CapPass","Cycle 1",1,34,"4-1-1","Alloy 617",314626,"Plate"
138.24,0.00086,"Qualified",,0.87,"CapPass","Cycle 1",1,35,"4-1-1","Alloy 617",314626,"Plate"
141.64,0.00088,"Qualified",,0.89,"CapPass","Cycle 1",1,36,"4-1-1","Alloy 617",314626,"Plate"
145.22,0.00091,"Qualified",,0.92,"CapPass","Cycle 1",1,37,"4-1-1","Alloy 617",314626,"Plate"
148.85,0.00094,"Qualified",,0.94,"CapPass","Cycle 1",1,38,"4-1-1","Alloy 617",314626,"Plate"
152.42,0.00096,"Qualified",,0.97,"CapPass","Cycle 1",1,39,"4-1-1","Alloy 617",314626,"Plate"
155.34,0.00099,"Qualified",,0.99,"CapPass","Cycle 1",1,40,"4-1-1","Alloy 617",314626,"Plate"
157.65,0.00101,"Qualified",,1.01,"CapPass","Cycle 1",1,41,"4-1-1","Alloy 617",314626,"Plate"
159.38,0.00104,"Qualified",,1.02,"CapPass","Cycle 1",1,42,"4-1-1","Alloy 617",314626,"Plate"
160.60,0.00106,"Qualified",,1.04,"CapPass","Cycle 1",1,43,"4-1-1","Alloy 617",314626,"Plate"
161.45,0.00109,"Qualified",,1.05,"CapPass","Cycle 1",1,44,"4-1-1","Alloy 617",314626,"Plate"
162.03,0.00112,"Qualified",,1.06,"CapPass","Cycle 1",1,45,"4-1-1","Alloy 617",314626,"Plate"
162.42,0.00115,"Qualified",,1.07,"CapPass","Cycle 1",1,46,"4-1-1","Alloy 617",314626,"Plate"
162.64,0.00117,"Qualified",,1.07,"CapPass","Cycle 1",1,47,"4-1-1","Alloy 617",314626,"Plate"
162.81,0.00120,"Qualified",,1.08,"CapPass","Cycle 1",1,48,"4-1-1","Alloy 617",314626,"Plate"
162.86,0.00123,"Qualified",,1.09,"CapPass","Cycle 1",1,49,"4-1-1","Alloy 617",314626,"Plate"
162.77,0.00125,"Qualified",,1.10,"CapPass","Cycle 1",1,50,"4-1-1","Alloy 617",314626,"Plate"
162.35,0.00128,"Qualified",,1.11,"CapPass","Cycle 1",1,51,"4-1-1","Alloy 617",314626,"Plate"
152.33,0.00125,"Qualified",,1.23,"CapPass","Cycle 1",1,52,"4-1-1","Alloy 617",314626,"Plate"
157.65,0.00128,"Qualified",,1.32,"CapPass","Cycle 1",1,53,"4-1-1","Alloy 617",314626,"Plate"
161.25,0.00130,"Qualified",,1.35,"CapPass","Cycle 1",1,54,"4-1-1","Alloy 617",314626,"Plate"
164.73,0.00133,"Qualified",,1.37,"CapPass","Cycle 1",1,55,"4-1-1","Alloy 617",314626,"Plate"
167.98,0.00136,"Qualified",,1.38,"CapPass","Cycle 1",1,56,"4-1-1","Alloy 617",314626,"Plate"
169.60,0.00138,"Qualified",,1.40,"CapPass","Cycle 1",1,57,"4-1-1","Alloy 617",314626,"Plate"
163.21,0.00142,"Qualified",,1.40,"CapPass","Cycle 1",1,58,"4-1-1","Alloy 617",314626,"Plate"
163.32,0.00146,"Qualified",,1.41,"CapPass","Cycle 1",1,59,"4-1-1","Alloy 617",314626,"Plate"
163.51,0.00150,"Qualified",,1.41,"CapPass","Cycle 1",1,60,"4-1-1","Alloy 617",314626,"Plate"
163.75,0.00154,"Qualified",,1.41,"CapPass","Cycle 1",1,61,"4-1-1","Alloy 617",314626,"Plate"
163.87,0.00159,"Qualified",,1.41,"CapPass","Cycle 1",1,62,"4-1-1","Alloy 617",314626,"Plate"
163.99,0.00165,"Qualified",,1.41,"CapPass","Cycle 1",1,63,"4-1-1","Alloy 617",314626,"Plate"
164.17,0.00171,"Qualified",,1.41,"CapPass","Cycle 1",1,64,"4-1-1","Alloy 617",314626,"Plate"
164.29,0.00178,"Qualified",,1.41,"CapPass","Cycle 1",1,65,"4-1-1","Alloy 617",314626,"Plate"
164.45,0.00184,"Qualified",,1.41,"CapPass","Cycle 1",1,66,"4-1-1","Alloy 617",314626,"Plate"
164.62,0.00190,"Qualified",,1.41,"CapPass","Cycle 1",1,67,"4-1-1","Alloy 617",314626,"Plate"
