"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",173.56,-176.25,,"Qualified",0.985,1.57,4.76,"416-20",1,"Alloy 617","Plate",314626
2,"CapPass",175.71,-173.26,,"Qualified",1.014,7.77,11.15,"416-20",2,"Alloy 617","Plate",314626
3,"CapPass",178.60,-179.51,,"Qualified",0.995,14.67,18.39,"416-20",3,"Alloy 617","Plate",314626
4,"CapPass",181.93,-182.45,,"Qualified",0.997,22.16,25.59,"416-20",4,"Alloy 617","Plate",314626
5,"CapPass",187.06,-186.41,,"Qualified",1.003,29.84,33.69,"416-20",5,"Alloy 617","Plate",314626
6,"CapPass",186.65,-191.03,,"Qualified",0.977,37.70,41.95,"416-20",6,"Alloy 617","Plate",314626
7,"CapPass",191.88,-187.22,,"Qualified",1.025,45.92,49.91,"416-20",7,"Alloy 617","Plate",314626
8,"CapPass",189.83,-193.36,,"Qualified",0.982,53.67,58.03,"416-20",8,"Alloy 617","Plate",314626
9,"CapPass",194.96,-192.81,,"Qualified",1.011,62.05,65.94,"416-20",9,"Alloy 617","Plate",314626
10,"CapPass",193.69,-195.57,,"Qualified",0.990,69.88,73.99,"416-20",10,"Alloy 617","Plate",314626
11,"CapPass",197.75,-197.62,,"Qualified",1.001,78.03,81.74,"416-20",11,"Alloy 617","Plate",314626
12,"CapPass",196.18,-193.12,,"Qualified",1.016,85.98,89.72,"416-20",12,"Alloy 617","Plate",314626
13,"CapPass",196.99,-196.91,,"Qualified",1.000,93.84,97.89,"416-20",13,"Alloy 617","Plate",314626
14,"CapPass",196.99,-195.72,,"Qualified",1.007,101.88,105.78,"416-20",14,"Alloy 617","Plate",314626
15,"CapPass",195.17,-197.35,,"Qualified",0.989,109.91,114.13,"416-20",15,"Alloy 617","Plate",314626
16,"CapPass",197.63,-198.17,,"Qualified",0.997,118.12,121.91,"416-20",16,"Alloy 617","Plate",314626
17,"CapPass",202.90,-200.39,,"Qualified",1.013,126.02,129.76,"416-20",17,"Alloy 617","Plate",314626
18,"CapPass",199.19,-198.64,,"Qualified",1.003,134.02,137.80,"416-20",18,"Alloy 617","Plate",314626
19,"CapPass",200.91,-196.90,,"Qualified",1.020,141.99,145.74,"416-20",19,"Alloy 617","Plate",314626
20,"CapPass",200.65,-199.28,,"Qualified",1.007,150.08,153.82,"416-20",20,"Alloy 617","Plate",314626
21,"CapPass",200.22,-201.54,,"Qualified",0.993,157.99,161.94,"416-20",21,"Alloy 617","Plate",314626
22,"CapPass",201.80,-200.11,,"Qualified",1.008,166.09,169.75,"416-20",22,"Alloy 617","Plate",314626
23,"CapPass",203.24,-199.52,,"Qualified",1.019,174.10,177.90,"416-20",23,"Alloy 617","Plate",314626
24,"CapPass",199.35,-202.73,,"Qualified",0.983,182.17,186.07,"416-20",24,"Alloy 617","Plate",314626
25,"CapPass",201.62,-206.20,,"Qualified",0.978,190.06,194.14,"416-20",25,"Alloy 617","Plate",314626
26,"CapPass",206.43,-204.44,,"Qualified",1.010,198.06,202.14,"416-20",26,"Alloy 617","Plate",314626
27,"CapPass",203.62,-198.04,,"Qualified",1.028,205.84,209.72,"416-20",27,"Alloy 617","Plate",314626
28,"CapPass",198.43,-202.29,,"Qualified",0.981,213.61,217.78,"416-20",28,"Alloy 617","Plate",314626
29,"CapPass",205.64,-204.50,,"Qualified",1.006,222.13,225.98,"416-20",29,"Alloy 617","Plate",314626
30,"CapPass",204.47,-204.24,,"Qualified",1.001,229.95,234.09,"416-20",30,"Alloy 617","Plate",314626
31,"CapPass",203.42,-203.95,,"Qualified",0.997,237.90,242.18,"416-20",31,"Alloy 617","Plate",314626
32,"CapPass",203.96,-201.16,,"Qualified",1.014,245.92,249.88,"416-20",32,"Alloy 617","Plate",314626
33,"CapPass",209.68,-206.73,,"Qualified",1.014,254.18,258.16,"416-20",33,"Alloy 617","Plate",314626
34,"CapPass",203.80,-207.05,,"Qualified",0.984,261.91,266.22,"416-20",34,"Alloy 617","Plate",314626
35,"CapPass",207.39,-200.08,,"Qualified",1.037,270.21,274.12,"416-20",35,"Alloy 617","Plate",314626
36,"CapPass",207.03,-207.31,,"Qualified",0.999,278.20,282.24,"416-20",36,"Alloy 617","Plate",314626
37,"CapPass",206.16,-204.92,,"Qualified",1.006,286.05,290.10,"416-20",37,"Alloy 617","Plate",314626
38,"CapPass",206.55,-208.03,,"Qualified",0.993,294.16,298.14,"416-20",38,"Alloy 617","Plate",314626
39,"CapPass",206.82,-207.95,,"Qualified",0.995,302.13,306.22,"416-20",39,"Alloy 617","Plate",314626
40,"CapPass",208.05,-201.69,,"Qualified",1.032,310.32,314.03,"416-20",40,"Alloy 617","Plate",314626
41,"CapPass",204.31,-203.75,,"Qualified",1.003,317.87,321.84,"416-20",41,"Alloy 617","Plate",314626
42,"CapPass",203.12,-206.77,,"Qualified",0.982,325.86,330.09,"416-20",42,"Alloy 617","Plate",314626
43,"CapPass",209.55,-207.53,,"Qualified",1.010,334.29,338.20,"416-20",43,"Alloy 617","Plate",314626
44,"CapPass",208.68,-207.10,,"Qualified",1.008,342.21,346.25,"416-20",44,"Alloy 617","Plate",314626
45,"CapPass",213.08,-207.72,,"Qualified",1.026,350.29,354.24,"416-20",45,"Alloy 617","Plate",314626
46,"CapPass",210.56,-207.43,,"Qualified",1.015,358.34,362.14,"416-20",46,"Alloy 617","Plate",314626
47,"CapPass",209.33,-211.96,,"Qualified",0.988,366.36,370.31,"416-20",47,"Alloy 617","Plate",314626
48,"CapPass",207.45,-211.57,,"Qualified",0.981,374.13,378.36,"416-20",48,"Alloy 617","Plate",314626
