"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
9.22,0.00001,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"43-5","Alloy 617",314626,"Plate"
13.17,0.00004,"Qualified",,0.04,"CapPass","Cycle 1",1,2,"43-5","Alloy 617",314626,"Plate"
17.02,0.00007,"Qualified",,0.08,"CapPass","Cycle 1",1,3,"43-5","Alloy 617",314626,"Plate"
20.52,0.00009,"Qualified",,0.12,"CapPass","Cycle 1",1,4,"43-5","Alloy 617",314626,"Plate"
23.98,0.00012,"Qualified",,0.17,"CapPass","Cycle 1",1,5,"43-5","Alloy 617",314626,"Plate"
27.39,0.00014,"Qualified",,0.23,"CapPass","Cycle 1",1,6,"43-5","Alloy 617",314626,"Plate"
31.16,0.00017,"Qualified",,0.28,"CapPass","Cycle 1",1,7,"43-5","Alloy 617",314626,"Plate"
34.95,0.00019,"Qualified",,0.31,"CapPass","Cycle 1",1,8,"43-5","Alloy 617",314626,"Plate"
39.12,0.00022,"Qualified",,0.33,"CapPass","Cycle 1",1,9,"43-5","Alloy 617",314626,"Plate"
42.38,0.00024,"Qualified",,0.34,"CapPass","Cycle 1",1,10,"43-5","Alloy 617",314626,"Plate"
45.64,0.00027,"Qualified",,0.36,"CapPass","Cycle 1",1,11,"43-5","Alloy 617",314626,"Plate"
49.02,0.00029,"Qualified",,0.38,"CapPass","Cycle 1",1,12,"43-5","Alloy 617",314626,"Plate"
52.29,0.00032,"Qualified",,0.39,"CapPass","Cycle 1",1,13,"43-5","Alloy 617",314626,"Plate"
55.65,0.00035,"Qualified",,0.42,"CapPass","Cycle 1",1,14,"43-5","Alloy 617",314626,"Plate"
59.27,0.00037,"Qualified",,0.45,"CapPass","Cycle 1",1,15,"43-5","Alloy 617",314626,"Plate"
62.55,0.00040,"Qualified",,0.47,"CapPass","Cycle 1",1,16,"43-5","Alloy 617",314626,"Plate"
66.25,0.00042,"Qualified",,0.51,"CapPass","Cycle 1",1,17,"43-5","Alloy 617",314626,"Plate"
69.85,0.00045,"Qualified",,0.55,"CapPass","Cycle 1",1,18,"43-5","Alloy 617",314626,"Plate"
73.05,0.00047,"Qualified",,0.58,"CapPass","Cycle 1",1,19,"43-5","Alloy 617",314626,"Plate"
75.91,0.00050,"Qualified",,0.61,"CapPass","Cycle 1",1,20,"43-5","Alloy 617",314626,"Plate"
79.08,0.00052,"Qualified",,0.64,"CapPass","Cycle 1",1,21,"43-5","Alloy 617",314626,"Plate"
82.31,0.00055,"Qualified",,0.67,"CapPass","Cycle 1",1,22,"43-5","Alloy 617",314626,"Plate"
85.57,0.00058,"Qualified",,0.70,"CapPass","Cycle 1",1,23,"43-5","Alloy 617",314626,"Plate"
89.03,0.00060,"Qualified",,0.73,"CapPass","Cycle 1",1,24,"43-5","Alloy 617",314626,"Plate"
92.61,0.00063,"Qualified",,0.76,"CapPass","Cycle 1",1,25,"43-5","Alloy 617",314626,"Plate"
96.29,0.00065,"Qualified",,0.78,"CapPass","Cycle 1",1,26,"43-5","Alloy 617",314626,"Plate"
