"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
54,"CapPass",163.29,-167.28,,"Qualified",0.976,420.29,424.37,"43-20",54,"Alloy 617","Plate",314626
55,"CapPass",164.06,-166.15,,"Qualified",0.987,428.39,432.42,"43-20",55,"Alloy 617","Plate",314626
56,"CapPass",160.31,-168.10,,"Qualified",0.954,436.39,440.42,"43-20",56,"Alloy 617","Plate",314626
57,"CapPass",163.18,-168.33,,"Qualified",0.969,444.38,448.41,"43-20",57,"Alloy 617","Plate",314626
58,"CapPass",161.69,-165.23,,"Qualified",0.979,452.41,456.43,"43-20",58,"Alloy 617","Plate",314626
59,"CapPass",161.83,-165.84,,"Qualified",0.976,460.25,464.45,"43-20",59,"Alloy 617","Plate",314626
60,"CapPass",163.38,-167.25,,"Qualified",0.977,468.42,472.43,"43-20",60,"Alloy 617","Plate",314626
61,"CapPass",161.31,-164.85,,"Qualified",0.979,476.33,480.47,"43-20",61,"Alloy 617","Plate",314626
62,"CapPass",159.75,-167.26,,"Qualified",0.955,484.06,488.42,"43-20",62,"Alloy 617","Plate",314626
63,"CapPass",163.33,-165.35,,"Qualified",0.988,492.26,496.31,"43-20",63,"Alloy 617","Plate",314626
64,"CapPass",162.21,-168.46,,"Qualified",0.963,500.48,504.47,"43-20",64,"Alloy 617","Plate",314626
65,"CapPass",161.18,-166.23,,"Qualified",0.970,508.26,512.51,"43-20",65,"Alloy 617","Plate",314626
66,"CapPass",164.45,-167.07,,"Qualified",0.984,516.51,520.51,"43-20",66,"Alloy 617","Plate",314626
67,"CapPass",162.35,-164.26,,"Qualified",0.988,524.54,528.47,"43-20",67,"Alloy 617","Plate",314626
68,"CapPass",162.80,-167.80,,"Qualified",0.970,532.53,536.29,"43-20",68,"Alloy 617","Plate",314626
69,"CapPass",161.60,-165.60,,"Qualified",0.976,540.31,544.28,"43-20",69,"Alloy 617","Plate",314626
70,"CapPass",161.26,-166.07,,"Qualified",0.971,548.53,552.53,"43-20",70,"Alloy 617","Plate",314626
71,"CapPass",160.71,-168.47,,"Qualified",0.954,556.53,560.44,"43-20",71,"Alloy 617","Plate",314626
72,"CapPass",162.27,-167.32,,"Qualified",0.970,564.55,568.46,"43-20",72,"Alloy 617","Plate",314626
73,"CapPass",162.66,-166.71,,"Qualified",0.976,572.55,576.55,"43-20",73,"Alloy 617","Plate",314626
74,"CapPass",161.32,-166.88,,"Qualified",0.967,580.58,584.58,"43-20",74,"Alloy 617","Plate",314626
75,"CapPass",163.20,-165.60,,"Qualified",0.985,588.43,592.59,"43-20",75,"Alloy 617","Plate",314626
76,"CapPass",163.44,-167.51,,"Qualified",0.976,596.46,600.43,"43-20",76,"Alloy 617","Plate",314626
77,"CapPass",159.56,-166.22,,"Qualified",0.960,604.59,608.54,"43-20",77,"Alloy 617","Plate",314626
78,"CapPass",160.65,-167.36,,"Qualified",0.960,612.25,616.61,"43-20",78,"Alloy 617","Plate",314626
79,"CapPass",163.49,-167.29,,"Qualified",0.977,620.50,624.61,"43-20",79,"Alloy 617","Plate",314626
80,"CapPass",162.29,-165.09,,"Qualified",0.983,628.63,632.55,"43-20",80,"Alloy 617","Plate",314626
81,"CapPass",160.85,-164.34,,"Qualified",0.979,636.38,640.64,"43-20",81,"Alloy 617","Plate",314626
82,"CapPass",162.62,-165.22,,"Qualified",0.984,644.64,648.64,"43-20",82,"Alloy 617","Plate",314626
83,"CapPass",162.56,-166.00,,"Qualified",0.979,652.28,656.58,"43-20",83,"Alloy 617","Plate",314626
84,"CapPass",162.72,-165.63,,"Qualified",0.982,660.65,664.65,"43-20",84,"Alloy 617","Plate",314626
85,"CapPass",162.99,-165.82,,"Qualified",0.983,668.57,672.64,"43-20",85,"Alloy 617","Plate",314626
86,"CapPass",163.20,-166.33,,"Qualified",0.981,676.37,680.70,"43-20",86,"Alloy 617","Plate",314626
87,"CapPass",164.08,-167.71,,"Qualified",0.978,684.67,688.62,"43-20",87,"Alloy 617","Plate",314626
88,"CapPass",163.20,-164.86,,"Qualified",0.990,692.50,696.69,"43-20",88,"Alloy 617","Plate",314626
89,"CapPass",162.60,-166.67,,"Qualified",0.976,700.53,704.70,"43-20",89,"Alloy 617","Plate",314626
90,"CapPass",162.96,-167.08,,"Qualified",0.975,708.62,712.73,"43-20",90,"Alloy 617","Plate",314626
91,"CapPass",161.66,-166.47,,"Qualified",0.971,716.68,720.72,"43-20",91,"Alloy 617","Plate",314626
92,"CapPass",163.66,-168.55,,"Qualified",0.971,724.70,728.70,"43-20",92,"Alloy 617","Plate",314626
93,"CapPass",160.86,-165.91,,"Qualified",0.970,732.41,736.75,"43-20",93,"Alloy 617","Plate",314626
94,"CapPass",161.74,-169.43,,"Qualified",0.955,740.74,744.73,"43-20",94,"Alloy 617","Plate",314626
95,"CapPass",162.09,-167.73,,"Qualified",0.966,748.63,752.75,"43-20",95,"Alloy 617","Plate",314626
96,"CapPass",164.05,-166.79,,"Qualified",0.984,756.70,760.73,"43-20",96,"Alloy 617","Plate",314626
97,"CapPass",162.93,-167.01,,"Qualified",0.976,764.69,768.74,"43-20",97,"Alloy 617","Plate",314626
98,"CapPass",162.44,-167.52,,"Qualified",0.970,772.78,776.77,"43-20",98,"Alloy 617","Plate",314626
99,"CapPass",161.28,-167.08,,"Qualified",0.965,780.79,784.73,"43-20",99,"Alloy 617","Plate",314626
100,"CapPass",164.57,-166.42,,"Qualified",0.989,788.64,792.82,"43-20",100,"Alloy 617","Plate",314626
101,"CapPass",161.84,-165.10,,"Qualified",0.980,796.80,800.81,"43-20",101,"Alloy 617","Plate",314626
102,"CapPass",163.09,-166.11,,"Qualified",0.982,804.81,808.54,"43-20",102,"Alloy 617","Plate",314626
103,"CapPass",161.40,-167.90,,"Qualified",0.961,812.83,816.84,"43-20",103,"Alloy 617","Plate",314626
104,"CapPass",162.36,-164.23,,"Qualified",0.989,820.61,824.61,"43-20",104,"Alloy 617","Plate",314626
105,"CapPass",161.65,-166.28,,"Qualified",0.972,828.84,832.84,"43-20",105,"Alloy 617","Plate",314626
106,"CapPass",164.08,-167.93,,"Qualified",0.977,836.63,840.86,"43-20",106,"Alloy 617","Plate",314626
107,"CapPass",161.25,-166.87,,"Qualified",0.966,844.64,848.86,"43-20",107,"Alloy 617","Plate",314626
108,"CapPass",164.37,-169.27,,"Qualified",0.971,852.67,856.88,"43-20",108,"Alloy 617","Plate",314626
109,"CapPass",162.11,-164.94,,"Qualified",0.983,860.60,864.69,"43-20",109,"Alloy 617","Plate",314626
110,"CapPass",160.41,-168.25,,"Qualified",0.953,868.87,872.84,"43-20",110,"Alloy 617","Plate",314626
111,"CapPass",162.88,-167.60,,"Qualified",0.972,876.86,880.89,"43-20",111,"Alloy 617","Plate",314626
112,"CapPass",163.01,-168.26,,"Qualified",0.969,884.83,888.91,"43-20",112,"Alloy 617","Plate",314626
113,"CapPass",162.11,-166.27,,"Qualified",0.975,892.92,896.70,"43-20",113,"Alloy 617","Plate",314626
114,"CapPass",162.46,-165.54,,"Qualified",0.981,900.90,904.92,"43-20",114,"Alloy 617","Plate",314626
115,"CapPass",162.48,-165.57,,"Qualified",0.981,908.94,912.93,"43-20",115,"Alloy 617","Plate",314626
116,"CapPass",160.53,-166.93,,"Qualified",0.962,916.94,920.77,"43-20",116,"Alloy 617","Plate",314626
117,"CapPass",163.40,-165.48,,"Qualified",0.987,924.92,928.70,"43-20",117,"Alloy 617","Plate",314626
118,"CapPass",162.97,-166.84,,"Qualified",0.977,932.95,936.86,"43-20",118,"Alloy 617","Plate",314626
119,"CapPass",163.03,-166.64,,"Qualified",0.978,940.75,944.96,"43-20",119,"Alloy 617","Plate",314626
120,"CapPass",162.36,-167.27,,"Qualified",0.971,948.98,952.97,"43-20",120,"Alloy 617","Plate",314626
121,"CapPass",164.00,-167.25,,"Qualified",0.981,956.78,960.97,"43-20",121,"Alloy 617","Plate",314626
122,"CapPass",163.48,-168.76,,"Qualified",0.969,964.94,969.01,"43-20",122,"Alloy 617","Plate",314626
123,"CapPass",162.85,-168.01,,"Qualified",0.969,972.86,976.89,"43-20",123,"Alloy 617","Plate",314626
124,"CapPass",160.07,-168.10,,"Qualified",0.952,980.97,985.01,"43-20",124,"Alloy 617","Plate",314626
125,"CapPass",163.34,-166.79,,"Qualified",0.979,988.92,993.01,"43-20",125,"Alloy 617","Plate",314626
126,"CapPass",158.56,-165.39,,"Qualified",0.959,997.01,1000.98,"43-20",126,"Alloy 617","Plate",314626
127,"CapPass",161.01,-166.81,,"Qualified",0.965,1005.05,1008.87,"43-20",127,"Alloy 617","Plate",314626
128,"CapPass",162.60,-168.19,,"Qualified",0.967,1013.03,1017.04,"43-20",128,"Alloy 617","Plate",314626
129,"CapPass",161.09,-166.82,,"Qualified",0.966,1021.05,1025.07,"43-20",129,"Alloy 617","Plate",314626
130,"CapPass",162.16,-166.61,,"Qualified",0.973,1029.05,1033.08,"43-20",130,"Alloy 617","Plate",314626
131,"CapPass",162.63,-165.50,,"Qualified",0.983,1037.08,1040.99,"43-20",131,"Alloy 617","Plate",314626
132,"CapPass",161.18,-165.84,,"Qualified",0.972,1045.08,1049.09,"43-20",132,"Alloy 617","Plate",314626
133,"CapPass",164.83,-164.54,,"Qualified",1.002,1053.02,1057.06,"43-20",133,"Alloy 617","Plate",314626
134,"CapPass",163.59,-166.35,,"Qualified",0.983,1060.87,1065.09,"43-20",134,"Alloy 617","Plate",314626
135,"CapPass",163.40,-166.50,,"Qualified",0.981,1069.10,1073.11,"43-20",135,"Alloy 617","Plate",314626
136,"CapPass",163.16,-165.36,,"Qualified",0.987,1076.93,1080.97,"43-20",136,"Alloy 617","Plate",314626
137,"CapPass",164.58,-167.39,,"Qualified",0.983,1084.93,1089.08,"43-20",137,"Alloy 617","Plate",314626
138,"CapPass",164.50,-167.14,,"Qualified",0.984,1093.13,1097.13,"43-20",138,"Alloy 617","Plate",314626
139,"CapPass",162.14,-166.67,,"Qualified",0.973,1101.14,1105.16,"43-20",139,"Alloy 617","Plate",314626
140,"CapPass",161.75,-167.60,,"Qualified",0.965,1108.98,1113.15,"43-20",140,"Alloy 617","Plate",314626
141,"CapPass",164.99,-165.54,,"Qualified",0.997,1117.05,1121.16,"43-20",141,"Alloy 617","Plate",314626
142,"CapPass",163.93,-168.61,,"Qualified",0.972,1125.05,1129.09,"43-20",142,"Alloy 617","Plate",314626
143,"CapPass",161.59,-168.13,,"Qualified",0.961,1133.18,1137.17,"43-20",143,"Alloy 617","Plate",314626
144,"CapPass",163.91,-167.47,,"Qualified",0.979,1141.17,1145.20,"43-20",144,"Alloy 617","Plate",314626
145,"CapPass",162.10,-166.63,,"Qualified",0.973,1149.18,1153.20,"43-20",145,"Alloy 617","Plate",314626
146,"CapPass",164.16,-167.87,,"Qualified",0.978,1157.05,1161.16,"43-20",146,"Alloy 617","Plate",314626
147,"CapPass",159.99,-166.72,,"Qualified",0.960,1165.21,1169.21,"43-20",147,"Alloy 617","Plate",314626
148,"CapPass",160.94,-166.87,,"Qualified",0.964,1172.88,1177.23,"43-20",148,"Alloy 617","Plate",314626
149,"CapPass",161.02,-166.98,,"Qualified",0.964,1181.24,1185.09,"43-20",149,"Alloy 617","Plate",314626
150,"CapPass",164.23,-167.07,,"Qualified",0.983,1189.20,1193.24,"43-20",150,"Alloy 617","Plate",314626
151,"CapPass",162.94,-165.92,,"Qualified",0.982,1197.25,1201.25,"43-20",151,"Alloy 617","Plate",314626
152,"CapPass",162.34,-164.07,,"Qualified",0.989,1205.22,1209.26,"43-20",152,"Alloy 617","Plate",314626
153,"CapPass",163.28,-166.67,,"Qualified",0.980,1213.04,1217.16,"43-20",153,"Alloy 617","Plate",314626
154,"CapPass",162.85,-165.94,,"Qualified",0.981,1221.11,1225.28,"43-20",154,"Alloy 617","Plate",314626
155,"CapPass",163.02,-167.41,,"Qualified",0.974,1229.00,1233.28,"43-20",155,"Alloy 617","Plate",314626
156,"CapPass",163.71,-168.47,,"Qualified",0.972,1236.98,1241.25,"43-20",156,"Alloy 617","Plate",314626
157,"CapPass",164.47,-167.73,,"Qualified",0.981,1245.14,1249.30,"43-20",157,"Alloy 617","Plate",314626
158,"CapPass",163.27,-166.63,,"Qualified",0.980,1252.88,1257.33,"43-20",158,"Alloy 617","Plate",314626
159,"CapPass",163.85,-166.84,,"Qualified",0.982,1261.32,1265.30,"43-20",159,"Alloy 617","Plate",314626
160,"CapPass",161.30,-169.71,,"Qualified",0.950,1269.15,1273.27,"43-20",160,"Alloy 617","Plate",314626
161,"CapPass",162.54,-166.53,,"Qualified",0.976,1277.28,1281.32,"43-20",161,"Alloy 617","Plate",314626
162,"CapPass",162.41,-166.67,,"Qualified",0.974,1285.09,1289.34,"43-20",162,"Alloy 617","Plate",314626
163,"CapPass",163.69,-168.03,,"Qualified",0.974,1293.21,1297.33,"43-20",163,"Alloy 617","Plate",314626
164,"CapPass",163.61,-166.82,,"Qualified",0.981,1301.36,1305.34,"43-20",164,"Alloy 617","Plate",314626
165,"CapPass",162.62,-164.96,,"Qualified",0.986,1309.24,1313.14,"43-20",165,"Alloy 617","Plate",314626
166,"CapPass",162.84,-165.14,,"Qualified",0.986,1317.09,1321.38,"43-20",166,"Alloy 617","Plate",314626
167,"CapPass",164.12,-165.47,,"Qualified",0.992,1325.11,1329.41,"43-20",167,"Alloy 617","Plate",314626
168,"CapPass",163.52,-167.69,,"Qualified",0.975,1333.23,1337.25,"43-20",168,"Alloy 617","Plate",314626
169,"CapPass",162.70,-167.36,,"Qualified",0.972,1341.37,1345.42,"43-20",169,"Alloy 617","Plate",314626
170,"CapPass",163.87,-165.83,,"Qualified",0.988,1349.27,1353.34,"43-20",170,"Alloy 617","Plate",314626
171,"CapPass",164.18,-166.34,,"Qualified",0.987,1357.36,1361.38,"43-20",171,"Alloy 617","Plate",314626
172,"CapPass",161.95,-167.41,,"Qualified",0.967,1365.44,1369.35,"43-20",172,"Alloy 617","Plate",314626
173,"CapPass",162.45,-167.60,,"Qualified",0.969,1373.17,1377.45,"43-20",173,"Alloy 617","Plate",314626
174,"CapPass",164.56,-166.43,,"Qualified",0.989,1381.25,1385.46,"43-20",174,"Alloy 617","Plate",314626
175,"CapPass",163.19,-167.38,,"Qualified",0.975,1389.44,1393.46,"43-20",175,"Alloy 617","Plate",314626
