"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
11.64,0.00003,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"43-16","Alloy 617",314626,"Plate"
15.34,0.00005,"Qualified",,0.04,"CapPass","Cycle 1",1,2,"43-16","Alloy 617",314626,"Plate"
18.74,0.00008,"Qualified",,0.07,"CapPass","Cycle 1",1,3,"43-16","Alloy 617",314626,"Plate"
22.54,0.00011,"Qualified",,0.10,"CapPass","Cycle 1",1,4,"43-16","Alloy 617",314626,"Plate"
26.24,0.00013,"Qualified",,0.13,"CapPass","Cycle 1",1,5,"43-16","Alloy 617",314626,"Plate"
29.38,0.00016,"Qualified",,0.16,"CapPass","Cycle 1",1,6,"43-16","Alloy 617",314626,"Plate"
32.43,0.00018,"Qualified",,0.19,"CapPass","Cycle 1",1,7,"43-16","Alloy 617",314626,"Plate"
35.91,0.00021,"Qualified",,0.22,"CapPass","Cycle 1",1,8,"43-16","Alloy 617",314626,"Plate"
39.25,0.00023,"Qualified",,0.25,"CapPass","Cycle 1",1,9,"43-16","Alloy 617",314626,"Plate"
42.55,0.00026,"Qualified",,0.29,"CapPass","Cycle 1",1,10,"43-16","Alloy 617",314626,"Plate"
46.08,0.00028,"Qualified",,0.32,"CapPass","Cycle 1",1,11,"43-16","Alloy 617",314626,"Plate"
49.40,0.00031,"Qualified",,0.35,"CapPass","Cycle 1",1,12,"43-16","Alloy 617",314626,"Plate"
53.08,0.00033,"Qualified",,0.39,"CapPass","Cycle 1",1,13,"43-16","Alloy 617",314626,"Plate"
56.59,0.00036,"Qualified",,0.42,"CapPass","Cycle 1",1,14,"43-16","Alloy 617",314626,"Plate"
60.48,0.00038,"Qualified",,0.46,"CapPass","Cycle 1",1,15,"43-16","Alloy 617",314626,"Plate"
63.95,0.00041,"Qualified",,0.48,"CapPass","Cycle 1",1,16,"43-16","Alloy 617",314626,"Plate"
67.17,0.00044,"Qualified",,0.51,"CapPass","Cycle 1",1,17,"43-16","Alloy 617",314626,"Plate"
70.50,0.00046,"Qualified",,0.54,"CapPass","Cycle 1",1,18,"43-16","Alloy 617",314626,"Plate"
74.00,0.00049,"Qualified",,0.56,"CapPass","Cycle 1",1,19,"43-16","Alloy 617",314626,"Plate"
77.77,0.00051,"Qualified",,0.58,"CapPass","Cycle 1",1,20,"43-16","Alloy 617",314626,"Plate"
80.95,0.00054,"Qualified",,0.60,"CapPass","Cycle 1",1,21,"43-16","Alloy 617",314626,"Plate"
84.14,0.00056,"Qualified",,0.62,"CapPass","Cycle 1",1,22,"43-16","Alloy 617",314626,"Plate"
86.83,0.00059,"Qualified",,0.64,"CapPass","Cycle 1",1,23,"43-16","Alloy 617",314626,"Plate"
89.98,0.00061,"Qualified",,0.66,"CapPass","Cycle 1",1,24,"43-16","Alloy 617",314626,"Plate"
93.51,0.00064,"Qualified",,0.68,"CapPass","Cycle 1",1,25,"43-16","Alloy 617",314626,"Plate"
