"Cycle Label","Data State","Elapsed Time Sec","Qual State","Strain","Stress Mpa","Count","Sample","Alloy","Material_Form","Heat"
"Cycle 1","CapPass",0.00,"Trend",0.00003,-4.77,1,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.04,"Trend",0.00005,-1.07,2,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.07,"Trend",0.00008,2.57,3,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.10,"Trend",0.00010,5.96,4,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.12,"Trend",0.00013,9.46,5,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.15,"Trend",0.00015,12.91,6,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.18,"Trend",0.00018,16.18,7,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.21,"Trend",0.00020,19.36,8,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.25,"Trend",0.00023,22.20,9,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.33,"Trend",0.00025,25.45,10,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.38,"Trend",0.00028,29.02,11,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.42,"Trend",0.00030,32.71,12,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.44,"Trend",0.00033,37.07,13,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.46,"Trend",0.00036,40.64,14,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.47,"Trend",0.00038,44.05,15,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.49,"Trend",0.00041,47.54,16,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.51,"Trend",0.00043,50.93,17,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.53,"Trend",0.00046,54.36,18,"315-16","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.55,"Trend",0.00048,57.69,19,"315-16","Alloy 617","Plate",314626
