"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
57,"CapPass",171.45,-173.2,"Trend",0.990,329.65,332.64,57,"B-3","Alloy 617","Plate",314626
58,"CapPass",172.61,-174.8,"Trend",0.987,335.64,338.59,58,"B-3","Alloy 617","Plate",314626
59,"CapPass",172.57,-174.1,"Trend",0.991,341.61,344.59,59,"B-3","Alloy 617","Plate",314626
60,"CapPass",174.02,-172.3,"Trend",1.010,347.54,350.50,60,"B-3","Alloy 617","Plate",314626
61,"CapPass",171.41,-174.6,"Trend",0.982,353.54,356.51,61,"B-3","Alloy 617","Plate",314626
62,"CapPass",172.80,-174.5,"Trend",0.990,359.53,362.50,62,"B-3","Alloy 617","Plate",314626
63,"CapPass",173.65,-172.9,"Trend",1.004,365.50,368.45,63,"B-3","Alloy 617","Plate",314626
64,"CapPass",176.02,-173.0,"Trend",1.017,371.47,374.40,64,"B-3","Alloy 617","Plate",314626
65,"CapPass",165.86,-175.9,"Trend",0.943,377.43,380.39,65,"B-3","Alloy 617","Plate",314626
66,"CapPass",171.25,-174.1,"Trend",0.984,383.39,386.36,66,"B-3","Alloy 617","Plate",314626
67,"CapPass",171.59,-175.9,"Trend",0.975,389.37,392.32,67,"B-3","Alloy 617","Plate",314626
68,"CapPass",171.88,-177.1,"Trend",0.970,395.34,398.31,68,"B-3","Alloy 617","Plate",314626
69,"CapPass",169.12,-176.9,"Trend",0.956,401.31,404.28,69,"B-3","Alloy 617","Plate",314626
70,"CapPass",172.88,-176.4,"Trend",0.980,407.28,410.25,70,"B-3","Alloy 617","Plate",314626
71,"CapPass",174.86,-171.3,"Trend",1.021,413.23,416.22,71,"B-3","Alloy 617","Plate",314626
72,"CapPass",169.74,-172.5,"Trend",0.984,419.22,422.17,72,"B-3","Alloy 617","Plate",314626
73,"CapPass",171.45,-176.4,"Trend",0.972,425.18,428.15,73,"B-3","Alloy 617","Plate",314626
74,"CapPass",170.05,-175.3,"Trend",0.970,431.12,434.12,74,"B-3","Alloy 617","Plate",314626
75,"CapPass",173.45,-172.1,"Trend",1.008,437.12,440.07,75,"B-3","Alloy 617","Plate",314626
76,"CapPass",172.00,-171.8,"Trend",1.001,443.06,445.97,76,"B-3","Alloy 617","Plate",314626
77,"CapPass",168.38,-170.6,"Trend",0.987,448.98,451.82,77,"B-3","Alloy 617","Plate",314626
78,"CapPass",169.52,-167.6,"Trend",1.012,454.92,457.72,78,"B-3","Alloy 617","Plate",314626
79,"CapPass",174.24,-174.2,"Trend",1.000,460.98,463.97,79,"B-3","Alloy 617","Plate",314626
80,"CapPass",174.79,-175.6,"Trend",0.996,466.95,469.93,80,"B-3","Alloy 617","Plate",314626
81,"CapPass",163.88,-177.8,"Trend",0.922,472.93,475.90,81,"B-3","Alloy 617","Plate",314626
82,"CapPass",169.52,-175.4,"Trend",0.967,478.90,481.87,82,"B-3","Alloy 617","Plate",314626
83,"CapPass",169.70,-177.5,"Trend",0.956,484.89,487.84,83,"B-3","Alloy 617","Plate",314626
84,"CapPass",170.81,-175.1,"Trend",0.975,490.86,493.81,84,"B-3","Alloy 617","Plate",314626
85,"CapPass",173.43,-173.0,"Trend",1.002,496.82,499.79,85,"B-3","Alloy 617","Plate",314626
86,"CapPass",173.88,-173.8,"Trend",1.001,502.73,505.76,86,"B-3","Alloy 617","Plate",314626
87,"CapPass",167.35,-177.0,"Trend",0.945,508.75,511.61,87,"B-3","Alloy 617","Plate",314626
88,"CapPass",167.82,-167.4,"Trend",1.003,514.48,517.70,88,"B-3","Alloy 617","Plate",314626
89,"CapPass",176.45,-166.2,"Trend",1.062,520.67,523.43,89,"B-3","Alloy 617","Plate",314626
90,"CapPass",174.17,-169.6,"Trend",1.027,526.65,529.64,90,"B-3","Alloy 617","Plate",314626
91,"CapPass",172.26,-172.7,"Trend",0.998,532.64,535.62,91,"B-3","Alloy 617","Plate",314626
92,"CapPass",174.59,-171.8,"Trend",1.016,538.61,541.57,92,"B-3","Alloy 617","Plate",314626
93,"CapPass",172.07,-172.9,"Trend",0.995,544.61,547.54,93,"B-3","Alloy 617","Plate",314626
94,"CapPass",175.88,-162.9,"Trend",1.080,550.53,553.18,94,"B-3","Alloy 617","Plate",314626
95,"CapPass",174.83,-168.9,"Trend",1.035,556.43,559.48,95,"B-3","Alloy 617","Plate",314626
96,"CapPass",170.51,-175.5,"Trend",0.972,562.48,565.45,96,"B-3","Alloy 617","Plate",314626
97,"CapPass",171.47,-175.5,"Trend",0.977,568.47,571.34,97,"B-3","Alloy 617","Plate",314626
98,"CapPass",161.66,-169.2,"Trend",0.956,573.98,577.39,98,"B-3","Alloy 617","Plate",314626
