"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
57,"CapPass",161.80,-164.0,"Trend",0.987,331.49,334.49,57,"F-12","Alloy 617","Plate",314626
58,"CapPass",160.65,-163.9,"Trend",0.980,337.49,340.50,58,"F-12","Alloy 617","Plate",314626
59,"CapPass",161.67,-164.6,"Trend",0.982,343.50,346.50,59,"F-12","Alloy 617","Plate",314626
60,"CapPass",160.10,-164.0,"Trend",0.976,349.51,352.51,60,"F-12","Alloy 617","Plate",314626
61,"CapPass",160.86,-163.8,"Trend",0.982,355.51,358.52,61,"F-12","Alloy 617","Plate",314626
62,"CapPass",160.84,-163.9,"Trend",0.981,361.52,364.52,62,"F-12","Alloy 617","Plate",314626
63,"CapPass",161.30,-164.3,"Trend",0.982,367.52,370.53,63,"F-12","Alloy 617","Plate",314626
64,"CapPass",160.54,-164.1,"Trend",0.978,373.53,376.53,64,"F-12","Alloy 617","Plate",314626
65,"CapPass",161.12,-163.6,"Trend",0.985,379.54,382.53,65,"F-12","Alloy 617","Plate",314626
66,"CapPass",161.29,-164.7,"Trend",0.980,385.54,388.54,66,"F-12","Alloy 617","Plate",314626
67,"CapPass",160.88,-164.2,"Trend",0.980,391.55,394.55,67,"F-12","Alloy 617","Plate",314626
68,"CapPass",161.25,-165.0,"Trend",0.977,397.55,400.55,68,"F-12","Alloy 617","Plate",314626
69,"CapPass",160.09,-164.1,"Trend",0.975,403.56,406.56,69,"F-12","Alloy 617","Plate",314626
70,"CapPass",160.59,-164.6,"Trend",0.976,409.57,412.57,70,"F-12","Alloy 617","Plate",314626
71,"CapPass",161.02,-164.5,"Trend",0.979,415.57,418.57,71,"F-12","Alloy 617","Plate",314626
72,"CapPass",160.49,-164.2,"Trend",0.977,421.58,424.58,72,"F-12","Alloy 617","Plate",314626
73,"CapPass",160.53,-164.2,"Trend",0.978,427.59,430.59,73,"F-12","Alloy 617","Plate",314626
74,"CapPass",160.56,-165.0,"Trend",0.973,433.59,436.59,74,"F-12","Alloy 617","Plate",314626
75,"CapPass",160.84,-164.5,"Trend",0.978,439.60,442.59,75,"F-12","Alloy 617","Plate",314626
76,"CapPass",160.11,-164.5,"Trend",0.973,445.59,448.60,76,"F-12","Alloy 617","Plate",314626
77,"CapPass",160.38,-164.6,"Trend",0.974,451.61,454.61,77,"F-12","Alloy 617","Plate",314626
78,"CapPass",160.12,-164.1,"Trend",0.976,457.61,460.61,78,"F-12","Alloy 617","Plate",314626
79,"CapPass",160.48,-164.5,"Trend",0.975,463.62,466.62,79,"F-12","Alloy 617","Plate",314626
80,"CapPass",161.09,-164.9,"Trend",0.977,469.62,472.62,80,"F-12","Alloy 617","Plate",314626
81,"CapPass",159.45,-164.4,"Trend",0.970,475.63,478.63,81,"F-12","Alloy 617","Plate",314626
82,"CapPass",160.33,-164.8,"Trend",0.973,481.64,484.63,82,"F-12","Alloy 617","Plate",314626
83,"CapPass",160.28,-163.9,"Trend",0.978,487.64,490.65,83,"F-12","Alloy 617","Plate",314626
84,"CapPass",160.91,-164.0,"Trend",0.981,493.65,496.65,84,"F-12","Alloy 617","Plate",314626
85,"CapPass",161.60,-164.1,"Trend",0.985,499.65,502.65,85,"F-12","Alloy 617","Plate",314626
86,"CapPass",160.68,-164.5,"Trend",0.977,505.66,508.66,86,"F-12","Alloy 617","Plate",314626
