Cycle,Data State,Max Stress Mpa,Min Stress Mpa,Qual State,Stress Ratio,Time Max Stress Sec,Time Min Stress Sec,Count,Sample,Alloy,Material_Form,Heat
60,CapPass,170.41,-168.90,Trend,1.009,349.93,352.93,60,A-20,Alloy 617,Plate,314626
61,CapPass,172.23,-167.60,Trend,1.027,355.93,358.96,61,A-20,Alloy 617,Plate,314626
62,CapPass,170.81,-171.60,Trend,0.995,361.96,364.96,62,A-20,Alloy 617,Plate,314626
63,CapPass,168.88,-171.00,Trend,0.988,367.96,371,63,A-20,Alloy 617,Plate,314626
64,CapPass,167.87,-171.40,Trend,0.979,374,377,64,A-20,Alloy 617,Plate,314626
65,CapPass,172.49,-171.50,Trend,1.006,380,383,65,A-20,Alloy 617,Plate,314626
66,CapPass,167.7,-171.60,Trend,0.977,386,389.03,66,A-20,Alloy 617,Plate,314626
67,CapPass,168.06,-166.90,Trend,1.007,392.03,395.03,67,A-20,Alloy 617,Plate,314626
68,CapPass,171.13,-169.50,Trend,1.009,398.03,401.03,68,A-20,Alloy 617,Plate,314626
69,CapPass,172.46,-169.30,Trend,1.019,404.06,407.09,69,A-20,Alloy 617,Plate,314626
70,CapPass,172.26,-167.40,Trend,1.029,410.06,413.09,70,A-20,Alloy 617,Plate,314626
71,CapPass,173.86,-170.30,Trend,1.021,416.06,419.09,71,A-20,Alloy 617,Plate,314626
72,CapPass,172.51,-164.80,Trend,1.047,422.09,425.12,72,A-20,Alloy 617,Plate,314626
73,CapPass,171.07,-164.30,Trend,1.041,428.09,431.12,73,A-20,Alloy 617,Plate,314626
74,CapPass,175.52,-169.70,Trend,1.034,434.09,437.12,74,A-20,Alloy 617,Plate,314626
75,CapPass,170.85,-169.10,Trend,1.01,440.12,443.12,75,A-20,Alloy 617,Plate,314626
76,CapPass,169.89,-167.70,Trend,1.013,446.12,449.15,76,A-20,Alloy 617,Plate,314626
77,CapPass,172.46,-169.90,Trend,1.015,452.12,455.15,77,A-20,Alloy 617,Plate,314626
78,CapPass,170.54,-168.70,Trend,1.011,458.15,461.15,78,A-20,Alloy 617,Plate,314626
79,CapPass,165.2,-171.20,Trend,0.965,464.18,467.18,79,A-20,Alloy 617,Plate,314626
80,CapPass,171.47,-169.80,Trend,1.01,470.18,473.18,80,A-20,Alloy 617,Plate,314626
81,CapPass,171.08,-168.30,Trend,1.017,476.18,479.18,81,A-20,Alloy 617,Plate,314626
82,CapPass,171.97,-171.90,Trend,1.001,482.21,485.21,82,A-20,Alloy 617,Plate,314626
83,CapPass,168.08,-171.20,Trend,0.982,488.21,491.21,83,A-20,Alloy 617,Plate,314626
84,CapPass,169.08,-168.10,Trend,1.006,494.25,497.25,84,A-20,Alloy 617,Plate,314626
85,CapPass,168.11,-169.30,Trend,0.993,500.25,503.25,85,A-20,Alloy 617,Plate,314626
86,CapPass,168.42,-171.20,Trend,0.984,506.25,509.28,86,A-20,Alloy 617,Plate,314626
87,CapPass,170.13,-168.20,Trend,1.011,512.28,515.28,87,A-20,Alloy 617,Plate,314626
88,CapPass,173.3,-169.20,Trend,1.024,518.28,521.28,88,A-20,Alloy 617,Plate,314626
89,CapPass,171.41,-167.40,Trend,1.024,524.28,527.31,89,A-20,Alloy 617,Plate,314626
90,CapPass,170.52,-171.10,Trend,0.997,530.31,533.31,90,A-20,Alloy 617,Plate,314626
