"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
2.01,0.00005,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"J-6","Alloy 617",314626,"Plate"
7.66,0.00008,"Qualified",,0.37,"CapPass","Cycle 1",1,2,"J-6","Alloy 617",314626,"Plate"
9.55,0.00010,"Qualified",,0.53,"CapPass","Cycle 1",1,3,"J-6","Alloy 617",314626,"Plate"
15.95,0.00015,"Qualified",,1.10,"CapPass","Cycle 1",1,4,"J-6","Alloy 617",314626,"Plate"
18.16,0.00016,"Qualified",,1.37,"CapPass","Cycle 1",1,5,"J-6","Alloy 617",314626,"Plate"
21.48,0.00020,"Qualified",,1.95,"CapPass","Cycle 1",1,6,"J-6","Alloy 617",314626,"Plate"
28.03,0.00025,"Qualified",,2.23,"CapPass","Cycle 1",1,7,"J-6","Alloy 617",314626,"Plate"
29.24,0.00025,"Qualified",,2.37,"CapPass","Cycle 1",1,8,"J-6","Alloy 617",314626,"Plate"
33.82,0.00030,"Qualified",,2.86,"CapPass","Cycle 1",1,9,"J-6","Alloy 617",314626,"Plate"
39.33,0.00033,"Qualified",,3.37,"CapPass","Cycle 1",1,10,"J-6","Alloy 617",314626,"Plate"
41.28,0.00035,"Qualified",,3.50,"CapPass","Cycle 1",1,11,"J-6","Alloy 617",314626,"Plate"
48.25,0.00040,"Qualified",,3.77,"CapPass","Cycle 1",1,12,"J-6","Alloy 617",314626,"Plate"
54.23,0.00045,"Qualified",,4.15,"CapPass","Cycle 1",1,13,"J-6","Alloy 617",314626,"Plate"
56.97,0.00047,"Qualified",,4.37,"CapPass","Cycle 1",1,14,"J-6","Alloy 617",314626,"Plate"
60.42,0.00050,"Qualified",,4.68,"CapPass","Cycle 1",1,15,"J-6","Alloy 617",314626,"Plate"
66.91,0.00055,"Qualified",,5.16,"CapPass","Cycle 1",1,16,"J-6","Alloy 617",314626,"Plate"
68.96,0.00056,"Qualified",,5.37,"CapPass","Cycle 1",1,17,"J-6","Alloy 617",314626,"Plate"
73.57,0.00060,"Qualified",,5.76,"CapPass","Cycle 1",1,18,"J-6","Alloy 617",314626,"Plate"
78.95,0.00065,"Qualified",,6.21,"CapPass","Cycle 1",1,19,"J-6","Alloy 617",314626,"Plate"
80.50,0.00066,"Qualified",,6.37,"CapPass","Cycle 1",1,20,"J-6","Alloy 617",314626,"Plate"
85.36,0.00070,"Qualified",,6.78,"CapPass","Cycle 1",1,21,"J-6","Alloy 617",314626,"Plate"
90.57,0.00075,"Qualified",,7.28,"CapPass","Cycle 1",1,22,"J-6","Alloy 617",314626,"Plate"
91.45,0.00075,"Qualified",,7.37,"CapPass","Cycle 1",1,23,"J-6","Alloy 617",314626,"Plate"
94.63,0.00080,"Qualified",,7.76,"CapPass","Cycle 1",1,24,"J-6","Alloy 617",314626,"Plate"
100.00,0.00085,"Qualified",,8.33,"CapPass","Cycle 1",1,25,"J-6","Alloy 617",314626,"Plate"
100.45,0.00085,"Qualified",,8.37,"CapPass","Cycle 1",1,26,"J-6","Alloy 617",314626,"Plate"
104.95,0.00090,"Qualified",,8.80,"CapPass","Cycle 1",1,27,"J-6","Alloy 617",314626,"Plate"
109.22,0.00096,"Qualified",,9.28,"CapPass","Cycle 1",1,28,"J-6","Alloy 617",314626,"Plate"
109.73,0.00095,"Qualified",,9.37,"CapPass","Cycle 1",1,29,"J-6","Alloy 617",314626,"Plate"
114.59,0.00101,"Qualified",,9.86,"CapPass","Cycle 1",1,30,"J-6","Alloy 617",314626,"Plate"
117.14,0.00106,"Qualified",,10.33,"CapPass","Cycle 1",1,31,"J-6","Alloy 617",314626,"Plate"
117.34,0.00105,"Qualified",,10.37,"CapPass","Cycle 1",1,32,"J-6","Alloy 617",314626,"Plate"
119.72,0.00111,"Qualified",,10.78,"CapPass","Cycle 1",1,33,"J-6","Alloy 617",314626,"Plate"
119.71,0.00116,"Qualified",,11.26,"CapPass","Cycle 1",1,34,"J-6","Alloy 617",314626,"Plate"
119.54,0.00116,"Qualified",,11.37,"CapPass","Cycle 1",1,35,"J-6","Alloy 617",314626,"Plate"
118.69,0.00121,"Qualified",,11.78,"CapPass","Cycle 1",1,36,"J-6","Alloy 617",314626,"Plate"
118.33,0.00126,"Qualified",,12.26,"CapPass","Cycle 1",1,37,"J-6","Alloy 617",314626,"Plate"
118.23,0.00126,"Qualified",,12.37,"CapPass","Cycle 1",1,38,"J-6","Alloy 617",314626,"Plate"
118.16,0.00131,"Qualified",,12.73,"CapPass","Cycle 1",1,39,"J-6","Alloy 617",314626,"Plate"
116.99,0.00136,"Qualified",,13.20,"CapPass","Cycle 1",1,40,"J-6","Alloy 617",314626,"Plate"
116.18,0.00136,"Qualified",,13.37,"CapPass","Cycle 1",1,41,"J-6","Alloy 617",314626,"Plate"
115.20,0.00141,"Qualified",,13.65,"CapPass","Cycle 1",1,42,"J-6","Alloy 617",314626,"Plate"
110.71,0.00146,"Qualified",,14.15,"CapPass","Cycle 1",1,43,"J-6","Alloy 617",314626,"Plate"
