"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",87.32,-90.98,,"InProcess",0.960,72.81,1841.21,"315-7",1,"Alloy 617","Plate",314626
2,"CapPass",78.27,-91.67,,"InProcess",0.854,4631.13,5786.71,"315-7",2,"Alloy 617","Plate",314626
3,"CapPass",78.00,-89.01,,"InProcess",0.876,8064.26,9078.34,"315-7",3,"Alloy 617","Plate",314626
4,"CapPass",75.99,-90.48,,"InProcess",0.840,12216.87,14483.72,"315-7",4,"Alloy 617","Plate",314626
5,"CapPass",77.99,-92.37,,"InProcess",0.844,15519.83,18273.45,"315-7",5,"Alloy 617","Plate",314626
6,"CapPass",79.13,-87.43,,"InProcess",0.905,19200.29,20962.68,"315-7",6,"Alloy 617","Plate",314626
7,"CapPass",78.17,-84.65,,"InProcess",0.923,23880.01,25240.97,"315-7",7,"Alloy 617","Plate",314626
8,"CapPass",76.45,-92.88,,"InProcess",0.823,27425.16,29987.12,"315-7",8,"Alloy 617","Plate",314626
9,"CapPass",78.00,-90.67,,"InProcess",0.860,31483.47,33504.75,"315-7",9,"Alloy 617","Plate",314626
10,"CapPass",79.93,-91.65,,"InProcess",0.872,34797.04,38442.38,"315-7",10,"Alloy 617","Plate",314626
11,"CapPass",77.26,-86.97,,"InProcess",0.888,39484.04,42305.14,"315-7",11,"Alloy 617","Plate",314626
12,"CapPass",78.36,-89.73,,"InProcess",0.873,43784.92,46440.78,"315-7",12,"Alloy 617","Plate",314626
13,"CapPass",76.04,-84.60,,"InProcess",0.899,47877.23,50040.22,"315-7",13,"Alloy 617","Plate",314626
14,"CapPass",76.77,-86.59,,"InProcess",0.887,52021.66,53268.31,"315-7",14,"Alloy 617","Plate",314626
15,"CapPass",76.52,-87.41,,"InProcess",0.875,55038.15,58404.34,"315-7",15,"Alloy 617","Plate",314626
16,"CapPass",77.59,-89.96,,"InProcess",0.862,59837.84,62301.67,"315-7",16,"Alloy 617","Plate",314626
17,"CapPass",80.46,-89.17,,"InProcess",0.902,63741.97,65206.99,"315-7",17,"Alloy 617","Plate",314626
18,"CapPass",77.35,-89.01,,"InProcess",0.869,67079.85,70001.53,"315-7",18,"Alloy 617","Plate",314626
19,"CapPass",75.77,-86.62,,"InProcess",0.875,71672.61,74283.87,"315-7",19,"Alloy 617","Plate",314626
20,"CapPass",77.05,-94.80,,"InProcess",0.813,76149.36,77681.24,"315-7",20,"Alloy 617","Plate",314626
21,"CapPass",77.31,-91.07,,"InProcess",0.849,80176.91,82244.83,"315-7",21,"Alloy 617","Plate",314626
22,"CapPass",77.24,-91.93,,"InProcess",0.840,84162.41,86318.96,"315-7",22,"Alloy 617","Plate",314626
