"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",83.47,-92.80,,"InProcess",0.900,69.52,2498.75,"43-17",1,"Alloy 617","Plate",314626
2,"CapPass",".",-91.09,,"InProcess",".",".",6369.28,"43-17",2,"Alloy 617","Plate",314626
3,"CapPass",81.49,-91.42,,"InProcess",0.891,10930.17,10066.81,"43-17",3,"Alloy 617","Plate",314626
4,"CapPass",".",-87.86,,"InProcess",".",".",13946.52,"43-17",4,"Alloy 617","Plate",314626
5,"CapPass",78.53,-90.96,,"InProcess",0.863,16192.12,17869.60,"43-17",5,"Alloy 617","Plate",314626
6,"CapPass",80.88,-89.25,,"InProcess",0.906,19964.55,22328.07,"43-17",6,"Alloy 617","Plate",314626
7,"CapPass",78.48,-87.54,,"InProcess",0.897,27202.59,25340.14,"43-17",7,"Alloy 617","Plate",314626
8,"CapPass",79.44,-90.55,,"InProcess",0.877,31236.53,30310.80,"43-17",8,"Alloy 617","Plate",314626
9,"CapPass",".",-86.00,,"InProcess",".",".",33925.55,"43-17",9,"Alloy 617","Plate",314626
10,"CapPass",84.58,-86.58,,"InProcess",0.977,36343.18,38306.05,"43-17",10,"Alloy 617","Plate",314626
11,"CapPass",76.88,-92.01,,"InProcess",0.835,43000.40,42075.90,"43-17",11,"Alloy 617","Plate",314626
12,"CapPass",".",-89.65,,"InProcess",".",".",45583.06,"43-17",12,"Alloy 617","Plate",314626
13,"CapPass",77.79,-84.93,,"InProcess",0.916,47500.18,49503.07,"43-17",13,"Alloy 617","Plate",314626
14,"CapPass",81.42,-90.97,,"InProcess",0.895,52427.57,53694.60,"43-17",14,"Alloy 617","Plate",314626
15,"CapPass",81.14,-88.47,,"InProcess",0.917,55657.15,57971.14,"43-17",15,"Alloy 617","Plate",314626
16,"CapPass",80.95,-88.16,,"InProcess",0.918,60191.88,62359.33,"43-17",16,"Alloy 617","Plate",314626
17,"CapPass",79.70,-88.62,,"InProcess",0.899,64088.60,65121.62,"43-17",17,"Alloy 617","Plate",314626
18,"CapPass",76.39,-90.49,,"InProcess",0.844,68461.05,69499.45,"43-17",18,"Alloy 617","Plate",314626
19,"CapPass",78.28,-87.52,,"InProcess",0.894,74832.94,73372.06,"43-17",19,"Alloy 617","Plate",314626
20,"CapPass",79.08,-89.81,,"InProcess",0.881,78658.26,77471.24,"43-17",20,"Alloy 617","Plate",314626
21,"CapPass",".",-85.22,,"InProcess",".",".",82344.46,"43-17",21,"Alloy 617","Plate",314626
22,"CapPass",81.88,-85.82,,"InProcess",0.954,84346.65,85891.71,"43-17",22,"Alloy 617","Plate",314626
23,"CapPass",77.39,-88.28,,"InProcess",0.877,88323.58,90444.01,"43-17",23,"Alloy 617","Plate",314626
24,"CapPass",77.97,-87.88,,"InProcess",0.887,92141.43,94272.40,"43-17",24,"Alloy 617","Plate",314626
25,"CapPass",81.19,-83.19,,"InProcess",0.976,96383.48,96838.52,"43-17",25,"Alloy 617","Plate",314626
26,"CapPass",77.90,-85.21,,"InProcess",0.914,99755.24,101934.21,"43-17",26,"Alloy 617","Plate",314626
27,"CapPass",79.65,-86.36,,"InProcess",0.922,103989.28,105829.75,"43-17",27,"Alloy 617","Plate",314626
28,"CapPass",78.21,-86.34,,"InProcess",0.906,108074.03,109726.03,"43-17",28,"Alloy 617","Plate",314626
29,"CapPass",".",-85.10,,"InProcess",".",".",112988.35,"43-17",29,"Alloy 617","Plate",314626
30,"CapPass",77.09,-87.22,,"InProcess",0.884,116231.43,117912.97,"43-17",30,"Alloy 617","Plate",314626
31,"CapPass",76.96,-86.82,,"InProcess",0.886,120061.64,122298.56,"43-17",31,"Alloy 617","Plate",314626
32,"CapPass",76.11,-86.44,,"InProcess",0.881,126817.36,125372.78,"43-17",32,"Alloy 617","Plate",314626
33,"CapPass",".",-85.61,,"InProcess",".",".",129783.82,"43-17",33,"Alloy 617","Plate",314626
34,"CapPass",76.08,-85.25,,"InProcess",0.892,131525.31,134001.45,"43-17",34,"Alloy 617","Plate",314626
35,"CapPass",77.40,-83.67,,"InProcess",0.925,139344.93,137467.35,"43-17",35,"Alloy 617","Plate",314626
36,"CapPass",".",-85.46,,"InProcess",".",".",142406.98,"43-17",36,"Alloy 617","Plate",314626
37,"CapPass",76.57,-85.88,,"InProcess",0.892,143854.57,146172.78,"43-17",37,"Alloy 617","Plate",314626
38,"CapPass",77.56,-85.69,,"InProcess",0.905,151043.95,149227.76,"43-17",38,"Alloy 617","Plate",314626
39,"CapPass",".",-85.13,,"InProcess",".",".",154330.10,"43-17",39,"Alloy 617","Plate",314626
40,"CapPass",78.23,-83.89,,"InProcess",0.933,155696.03,158263.51,"43-17",40,"Alloy 617","Plate",314626
41,"CapPass",79.31,-85.58,,"InProcess",0.927,160093.14,161732.12,"43-17",41,"Alloy 617","Plate",314626
42,"CapPass",80.14,-87.74,,"InProcess",0.913,167083.73,166093.01,"43-17",42,"Alloy 617","Plate",314626
43,"CapPass",80.16,-84.92,,"InProcess",0.944,171187.14,170451.15,"43-17",43,"Alloy 617","Plate",314626
44,"CapPass",".",-91.73,,"InProcess",".",".",173991.04,"43-17",44,"Alloy 617","Plate",314626
45,"CapPass",76.74,-84.69,,"InProcess",0.906,175956.78,177697.28,"43-17",45,"Alloy 617","Plate",314626
