"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",68.52,-59.96,,"InProcess",1.143,73.73,2664.62,"J-3",1,"Alloy 617","Plate",314626
2,"CapPass",64.10,-60.58,,"InProcess",1.058,4219.70,6342.79,"J-3",2,"Alloy 617","Plate",314626
3,"CapPass",63.98,-60.81,,"InProcess",1.052,7825.11,9504.70,"J-3",3,"Alloy 617","Plate",314626
4,"CapPass",61.82,-56.40,,"InProcess",1.096,15350.61,14458.44,"J-3",4,"Alloy 617","Plate",314626
5,"CapPass",".",-56.65,,"InProcess",".",".",18331.62,"J-3",5,"Alloy 617","Plate",314626
6,"CapPass",61.43,-57.14,,"InProcess",1.075,19497.10,21315.83,"J-3",6,"Alloy 617","Plate",314626
7,"CapPass",60.22,-56.56,,"InProcess",1.065,23688.41,25660.99,"J-3",7,"Alloy 617","Plate",314626
8,"CapPass",60.58,-58.41,,"InProcess",1.037,27606.89,29929.83,"J-3",8,"Alloy 617","Plate",314626
9,"CapPass",61.78,-59.70,,"InProcess",1.035,32187.36,34443.75,"J-3",9,"Alloy 617","Plate",314626
10,"CapPass",60.73,-56.96,,"InProcess",1.066,36041.27,38237.40,"J-3",10,"Alloy 617","Plate",314626
11,"CapPass",60.17,-56.12,,"InProcess",1.072,39986.60,42300.10,"J-3",11,"Alloy 617","Plate",314626
12,"CapPass",61.61,-56.38,,"InProcess",1.093,43563.22,46315.35,"J-3",12,"Alloy 617","Plate",314626
13,"CapPass",61.12,-59.30,,"InProcess",1.031,47875.43,49970.42,"J-3",13,"Alloy 617","Plate",314626
14,"CapPass",60.54,-56.55,,"InProcess",1.070,52356.70,53961.45,"J-3",14,"Alloy 617","Plate",314626
15,"CapPass",60.38,-58.46,,"InProcess",1.033,59272.59,58359.47,"J-3",15,"Alloy 617","Plate",314626
16,"CapPass",".",-58.26,,"InProcess",".",".",62434.14,"J-3",16,"Alloy 617","Plate",314626
17,"CapPass",61.63,-57.75,,"InProcess",1.067,63844.25,66094.42,"J-3",17,"Alloy 617","Plate",314626
18,"CapPass",60.35,-57.62,,"InProcess",1.047,67904.01,69839.28,"J-3",18,"Alloy 617","Plate",314626
19,"CapPass",60.50,-57.33,,"InProcess",1.055,75267.46,74081.75,"J-3",19,"Alloy 617","Plate",314626
20,"CapPass",".",-57.85,,"InProcess",".",".",78387.61,"J-3",20,"Alloy 617","Plate",314626
21,"CapPass",60.85,-59.42,,"InProcess",1.024,79535.73,82475.86,"J-3",21,"Alloy 617","Plate",314626
22,"CapPass",61.14,-57.70,,"InProcess",1.060,87439.80,85932.85,"J-3",22,"Alloy 617","Plate",314626
23,"CapPass",".",-57.08,,"InProcess",".",".",90280.25,"J-3",23,"Alloy 617","Plate",314626
24,"CapPass",61.05,-56.93,,"InProcess",1.072,91844.59,94013.65,"J-3",24,"Alloy 617","Plate",314626
25,"CapPass",".",-56.53,,"InProcess",".",".",98389.22,"J-3",25,"Alloy 617","Plate",314626
26,"CapPass",60.62,-57.89,,"InProcess",1.047,99642.39,101405.49,"J-3",26,"Alloy 617","Plate",314626
27,"CapPass",".",-56.41,,"InProcess",".",".",106174.18,"J-3",27,"Alloy 617","Plate",314626
28,"CapPass",60.52,-56.39,,"InProcess",1.073,107802.83,109969.32,"J-3",28,"Alloy 617","Plate",314626
29,"CapPass",60.54,-56.83,,"InProcess",1.065,112061.61,114446.74,"J-3",29,"Alloy 617","Plate",314626
30,"CapPass",".",-59.20,,"InProcess",".",".",117838.19,"J-3",30,"Alloy 617","Plate",314626
31,"CapPass",60.29,-57.17,,"InProcess",1.055,120320.68,121360.33,"J-3",31,"Alloy 617","Plate",314626
32,"CapPass",61.39,-56.15,,"InProcess",1.093,123890.18,125454.39,"J-3",32,"Alloy 617","Plate",314626
33,"CapPass",59.53,-56.20,,"InProcess",1.059,127681.53,129347.67,"J-3",33,"Alloy 617","Plate",314626
34,"CapPass",60.94,-57.22,,"InProcess",1.065,135185.26,133560.28,"J-3",34,"Alloy 617","Plate",314626
35,"CapPass",60.63,-57.86,,"InProcess",1.048,139269.00,138274.56,"J-3",35,"Alloy 617","Plate",314626
36,"CapPass",".",-58.02,,"InProcess",".",".",141864.83,"J-3",36,"Alloy 617","Plate",314626
37,"CapPass",60.86,-58.30,,"InProcess",1.044,143646.90,146394.94,"J-3",37,"Alloy 617","Plate",314626
38,"CapPass",59.98,-56.74,,"InProcess",1.057,151308.20,150144.34,"J-3",38,"Alloy 617","Plate",314626
39,"CapPass",".",-57.35,,"InProcess",".",".",154430.76,"J-3",39,"Alloy 617","Plate",314626
40,"CapPass",60.16,-58.81,,"InProcess",1.023,155796.14,157525.90,"J-3",40,"Alloy 617","Plate",314626
41,"CapPass",59.47,-59.21,,"InProcess",1.004,160134.45,162249.76,"J-3",41,"Alloy 617","Plate",314626
42,"CapPass",61.12,-56.39,,"InProcess",1.084,167131.15,166457.97,"J-3",42,"Alloy 617","Plate",314626
43,"CapPass",".",-56.62,,"InProcess",".",".",170314.67,"J-3",43,"Alloy 617","Plate",314626
44,"CapPass",59.77,-57.55,,"InProcess",1.039,171789.89,174127.89,"J-3",44,"Alloy 617","Plate",314626
45,"CapPass",60.01,-57.77,,"InProcess",1.039,175929.03,177759.09,"J-3",45,"Alloy 617","Plate",314626
46,"CapPass",60.00,-58.07,,"InProcess",1.033,180052.19,181543.97,"J-3",46,"Alloy 617","Plate",314626
47,"CapPass",60.57,-58.97,,"InProcess",1.027,184239.26,186402.65,"J-3",47,"Alloy 617","Plate",314626
48,"CapPass",59.98,-57.92,,"InProcess",1.035,191082.03,190144.56,"J-3",48,"Alloy 617","Plate",314626
49,"CapPass",".",-58.82,,"InProcess",".",".",193828.29,"J-3",49,"Alloy 617","Plate",314626
50,"CapPass",59.78,-60.84,,"InProcess",0.983,199283.00,198447.81,"J-3",50,"Alloy 617","Plate",314626
51,"CapPass",59.29,-57.99,,"InProcess",1.022,203248.03,202070.20,"J-3",51,"Alloy 617","Plate",314626
52,"CapPass",".",-57.65,,"InProcess",".",".",205825.15,"J-3",52,"Alloy 617","Plate",314626
53,"CapPass",60.09,-55.38,,"InProcess",1.085,208071.87,210011.45,"J-3",53,"Alloy 617","Plate",314626
54,"CapPass",59.91,-55.99,,"InProcess",1.070,212301.81,213878.95,"J-3",54,"Alloy 617","Plate",314626
55,"CapPass",60.25,-55.87,,"InProcess",1.078,216069.75,218379.40,"J-3",55,"Alloy 617","Plate",314626
56,"CapPass",59.97,-57.34,,"InProcess",1.046,220247.23,222331.26,"J-3",56,"Alloy 617","Plate",314626
57,"CapPass",59.74,-57.44,,"InProcess",1.040,223749.00,226321.00,"J-3",57,"Alloy 617","Plate",314626
58,"CapPass",58.89,-56.42,,"InProcess",1.044,228432.79,229874.94,"J-3",58,"Alloy 617","Plate",314626
59,"CapPass",59.32,-57.23,,"InProcess",1.036,231922.86,233710.23,"J-3",59,"Alloy 617","Plate",314626
60,"CapPass",60.02,-56.16,,"InProcess",1.069,239099.34,238451.90,"J-3",60,"Alloy 617","Plate",314626
61,"CapPass",".",-56.27,,"InProcess",".",".",241625.61,"J-3",61,"Alloy 617","Plate",314626
62,"CapPass",61.95,-56.67,,"InProcess",1.093,244360.26,246203.20,"J-3",62,"Alloy 617","Plate",314626
63,"CapPass",58.30,-56.95,,"InProcess",1.024,247947.26,250367.83,"J-3",63,"Alloy 617","Plate",314626
64,"CapPass",59.00,-55.63,,"InProcess",1.061,251786.87,253919.00,"J-3",64,"Alloy 617","Plate",314626
65,"CapPass",60.01,-56.38,,"InProcess",1.064,256398.19,257366.40,"J-3",65,"Alloy 617","Plate",314626
66,"CapPass",61.21,-55.70,,"InProcess",1.099,259992.58,262003.26,"J-3",66,"Alloy 617","Plate",314626
67,"CapPass",60.61,-56.29,,"InProcess",1.077,264319.62,266287.50,"J-3",67,"Alloy 617","Plate",314626
68,"CapPass",59.23,-56.09,,"InProcess",1.056,268330.47,270066.15,"J-3",68,"Alloy 617","Plate",314626
69,"CapPass",57.90,-56.42,,"InProcess",1.026,271834.87,273333.44,"J-3",69,"Alloy 617","Plate",314626
70,"CapPass",58.50,-56.66,,"InProcess",1.032,275976.19,278462.15,"J-3",70,"Alloy 617","Plate",314626
71,"CapPass",58.89,-55.52,,"InProcess",1.061,280466.62,282274.44,"J-3",71,"Alloy 617","Plate",314626
72,"CapPass",".",-54.80,,"InProcess",".",".",285877.69,"J-3",72,"Alloy 617","Plate",314626
73,"CapPass",57.95,-56.19,,"InProcess",1.031,287608.12,290219.06,"J-3",73,"Alloy 617","Plate",314626
74,"CapPass",57.83,-56.74,,"InProcess",1.019,291989.81,293811.47,"J-3",74,"Alloy 617","Plate",314626
75,"CapPass",57.90,-56.72,,"InProcess",1.021,296438.90,297725.78,"J-3",75,"Alloy 617","Plate",314626
76,"CapPass",59.09,-54.98,,"InProcess",1.075,299775.56,301846.62,"J-3",76,"Alloy 617","Plate",314626
77,"CapPass",59.53,-55.30,,"InProcess",1.077,304305.72,305677.62,"J-3",77,"Alloy 617","Plate",314626
78,"CapPass",57.48,-55.58,,"InProcess",1.034,307501.19,310315.97,"J-3",78,"Alloy 617","Plate",314626
79,"CapPass",58.25,-54.04,,"InProcess",1.078,311918.81,314035.19,"J-3",79,"Alloy 617","Plate",314626
80,"CapPass",57.74,-54.77,,"InProcess",1.054,315887.78,318371.28,"J-3",80,"Alloy 617","Plate",314626
81,"CapPass",".",-55.04,,"InProcess",".",".",322271.40,"J-3",81,"Alloy 617","Plate",314626
82,"CapPass",57.32,-55.86,,"InProcess",1.026,323913.03,326276.62,"J-3",82,"Alloy 617","Plate",314626
83,"CapPass",57.25,-57.34,,"InProcess",0.998,328340.81,330422.09,"J-3",83,"Alloy 617","Plate",314626
84,"CapPass",59.07,-53.84,,"InProcess",1.097,332303.72,333583.62,"J-3",84,"Alloy 617","Plate",314626
85,"CapPass",57.75,-53.68,,"InProcess",1.076,335659.75,338263.28,"J-3",85,"Alloy 617","Plate",314626
86,"CapPass",".",-54.42,,"InProcess",".",".",341186.50,"J-3",86,"Alloy 617","Plate",314626
87,"CapPass",57.18,-53.64,,"InProcess",1.066,343838.31,345162.94,"J-3",87,"Alloy 617","Plate",314626
88,"CapPass",58.79,-54.90,,"InProcess",1.071,348211.78,350145.12,"J-3",88,"Alloy 617","Plate",314626
89,"CapPass",".",-53.87,,"InProcess",".",".",354297.81,"J-3",89,"Alloy 617","Plate",314626
90,"CapPass",57.11,-55.08,,"InProcess",1.037,355620.44,358299.00,"J-3",90,"Alloy 617","Plate",314626
91,"CapPass",58.21,-54.38,,"InProcess",1.070,363406.56,362356.87,"J-3",91,"Alloy 617","Plate",314626
92,"CapPass",".",-54.11,,"InProcess",".",".",366385.94,"J-3",92,"Alloy 617","Plate",314626
93,"CapPass",57.40,-53.68,,"InProcess",1.069,371306.56,370251.25,"J-3",93,"Alloy 617","Plate",314626
94,"CapPass",".",-53.41,,"InProcess",".",".",373854.37,"J-3",94,"Alloy 617","Plate",314626
95,"CapPass",57.32,-52.72,,"InProcess",1.087,375649.75,378117.25,"J-3",95,"Alloy 617","Plate",314626
96,"CapPass",".",-55.13,,"InProcess",".",".",382004.47,"J-3",96,"Alloy 617","Plate",314626
97,"CapPass",56.46,-54.99,,"InProcess",1.027,384239.47,385862.69,"J-3",97,"Alloy 617","Plate",314626
98,"CapPass",57.20,-53.61,,"InProcess",1.067,391186.31,390468.12,"J-3",98,"Alloy 617","Plate",314626
99,"CapPass",".",-53.82,,"InProcess",".",".",394344.40,"J-3",99,"Alloy 617","Plate",314626
100,"CapPass",57.45,-52.07,,"InProcess",1.103,395843.28,398342.40,"J-3",100,"Alloy 617","Plate",314626
101,"CapPass",56.24,-54.81,,"InProcess",1.026,400439.72,402286.53,"J-3",101,"Alloy 617","Plate",314626
102,"CapPass",56.27,-54.26,,"InProcess",1.037,404279.15,406449.69,"J-3",102,"Alloy 617","Plate",314626
103,"CapPass",56.40,-52.07,,"InProcess",1.083,408297.53,409936.12,"J-3",103,"Alloy 617","Plate",314626
104,"CapPass",55.93,-54.20,,"InProcess",1.032,412276.31,413610.94,"J-3",104,"Alloy 617","Plate",314626
