"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
18.40,0.00005,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"E-28","Alloy 617",314626,"Plate"
25.23,0.00010,"Qualified",,0.06,"CapPass","Cycle 1",1,2,"E-28","Alloy 617",314626,"Plate"
31.42,0.00015,"Qualified",,0.12,"CapPass","Cycle 1",1,3,"E-28","Alloy 617",314626,"Plate"
37.45,0.00020,"Qualified",,0.18,"CapPass","Cycle 1",1,4,"E-28","Alloy 617",314626,"Plate"
42.91,0.00025,"Qualified",,0.25,"CapPass","Cycle 1",1,5,"E-28","Alloy 617",314626,"Plate"
43.95,0.00026,"Qualified",,0.27,"CapPass","Cycle 1",1,6,"E-28","Alloy 617",314626,"Plate"
49.35,0.00030,"Qualified",,0.33,"CapPass","Cycle 1",1,7,"E-28","Alloy 617",314626,"Plate"
55.85,0.00036,"Qualified",,0.39,"CapPass","Cycle 1",1,8,"E-28","Alloy 617",314626,"Plate"
62.20,0.00041,"Qualified",,0.44,"CapPass","Cycle 1",1,9,"E-28","Alloy 617",314626,"Plate"
69.02,0.00046,"Qualified",,0.49,"CapPass","Cycle 1",1,10,"E-28","Alloy 617",314626,"Plate"
75.54,0.00051,"Qualified",,0.54,"CapPass","Cycle 1",1,11,"E-28","Alloy 617",314626,"Plate"
82.05,0.00056,"Qualified",,0.59,"CapPass","Cycle 1",1,12,"E-28","Alloy 617",314626,"Plate"
88.01,0.00061,"Qualified",,0.64,"CapPass","Cycle 1",1,13,"E-28","Alloy 617",314626,"Plate"
94.01,0.00066,"Qualified",,0.70,"CapPass","Cycle 1",1,14,"E-28","Alloy 617",314626,"Plate"
100.44,0.00071,"Qualified",,0.76,"CapPass","Cycle 1",1,15,"E-28","Alloy 617",314626,"Plate"
100.60,0.00071,"Qualified",,0.77,"CapPass","Cycle 1",1,16,"E-28","Alloy 617",314626,"Plate"
106.15,0.00076,"Qualified",,0.83,"CapPass","Cycle 1",1,17,"E-28","Alloy 617",314626,"Plate"
112.61,0.00081,"Qualified",,0.89,"CapPass","Cycle 1",1,18,"E-28","Alloy 617",314626,"Plate"
118.64,0.00086,"Qualified",,0.95,"CapPass","Cycle 1",1,19,"E-28","Alloy 617",314626,"Plate"
125.14,0.00091,"Qualified",,1.00,"CapPass","Cycle 1",1,20,"E-28","Alloy 617",314626,"Plate"
131.21,0.00096,"Qualified",,1.06,"CapPass","Cycle 1",1,21,"E-28","Alloy 617",314626,"Plate"
137.74,0.00101,"Qualified",,1.12,"CapPass","Cycle 1",1,22,"E-28","Alloy 617",314626,"Plate"
144.41,0.00106,"Qualified",,1.17,"CapPass","Cycle 1",1,23,"E-28","Alloy 617",314626,"Plate"
150.86,0.00111,"Qualified",,1.21,"CapPass","Cycle 1",1,24,"E-28","Alloy 617",314626,"Plate"
156.78,0.00116,"Qualified",,1.25,"CapPass","Cycle 1",1,25,"E-28","Alloy 617",314626,"Plate"
159.64,0.00119,"Qualified",,1.27,"CapPass","Cycle 1",1,26,"E-28","Alloy 617",314626,"Plate"
160.96,0.00121,"Qualified",,1.28,"CapPass","Cycle 1",1,27,"E-28","Alloy 617",314626,"Plate"
163.22,0.00126,"Qualified",,1.31,"CapPass","Cycle 1",1,28,"E-28","Alloy 617",314626,"Plate"
163.96,0.00131,"Qualified",,1.32,"CapPass","Cycle 1",1,29,"E-28","Alloy 617",314626,"Plate"
164.81,0.00137,"Qualified",,1.33,"CapPass","Cycle 1",1,30,"E-28","Alloy 617",314626,"Plate"
165.19,0.00142,"Qualified",,1.34,"CapPass","Cycle 1",1,31,"E-28","Alloy 617",314626,"Plate"
165.66,0.00148,"Qualified",,1.35,"CapPass","Cycle 1",1,32,"E-28","Alloy 617",314626,"Plate"
165.84,0.00153,"Qualified",,1.36,"CapPass","Cycle 1",1,33,"E-28","Alloy 617",314626,"Plate"
166.21,0.00159,"Qualified",,1.37,"CapPass","Cycle 1",1,34,"E-28","Alloy 617",314626,"Plate"
166.29,0.00164,"Qualified",,1.37,"CapPass","Cycle 1",1,35,"E-28","Alloy 617",314626,"Plate"
166.23,0.00169,"Qualified",,1.38,"CapPass","Cycle 1",1,36,"E-28","Alloy 617",314626,"Plate"
165.71,0.00174,"Qualified",,1.40,"CapPass","Cycle 1",1,37,"E-28","Alloy 617",314626,"Plate"
164.67,0.00179,"Qualified",,1.42,"CapPass","Cycle 1",1,38,"E-28","Alloy 617",314626,"Plate"
144.40,0.00174,"Qualified",,1.53,"CapPass","Cycle 1",1,39,"E-28","Alloy 617",314626,"Plate"
147.80,0.00177,"Qualified",,1.77,"CapPass","Cycle 1",1,40,"E-28","Alloy 617",314626,"Plate"
149.29,0.00179,"Qualified",,1.78,"CapPass","Cycle 1",1,41,"E-28","Alloy 617",314626,"Plate"
154.32,0.00184,"Qualified",,1.82,"CapPass","Cycle 1",1,42,"E-28","Alloy 617",314626,"Plate"
159.00,0.00189,"Qualified",,1.86,"CapPass","Cycle 1",1,43,"E-28","Alloy 617",314626,"Plate"
163.22,0.00194,"Qualified",,1.90,"CapPass","Cycle 1",1,44,"E-28","Alloy 617",314626,"Plate"
166.85,0.00199,"Qualified",,1.94,"CapPass","Cycle 1",1,45,"E-28","Alloy 617",314626,"Plate"
169.88,0.00204,"Qualified",,1.98,"CapPass","Cycle 1",1,46,"E-28","Alloy 617",314626,"Plate"
172.51,0.00210,"Qualified",,2.02,"CapPass","Cycle 1",1,47,"E-28","Alloy 617",314626,"Plate"
174.14,0.00215,"Qualified",,2.06,"CapPass","Cycle 1",1,48,"E-28","Alloy 617",314626,"Plate"
174.63,0.00220,"Qualified",,2.09,"CapPass","Cycle 1",1,49,"E-28","Alloy 617",314626,"Plate"
173.27,0.00225,"Qualified",,2.11,"CapPass","Cycle 1",1,50,"E-28","Alloy 617",314626,"Plate"
172.30,0.00230,"Qualified",,2.13,"CapPass","Cycle 1",1,51,"E-28","Alloy 617",314626,"Plate"
172.30,0.00236,"Qualified",,2.13,"CapPass","Cycle 1",1,52,"E-28","Alloy 617",314626,"Plate"
172.07,0.00241,"Qualified",,2.14,"CapPass","Cycle 1",1,53,"E-28","Alloy 617",314626,"Plate"
171.83,0.00246,"Qualified",,2.15,"CapPass","Cycle 1",1,54,"E-28","Alloy 617",314626,"Plate"
171.55,0.00252,"Qualified",,2.16,"CapPass","Cycle 1",1,55,"E-28","Alloy 617",314626,"Plate"
169.80,0.00257,"Qualified",,2.18,"CapPass","Cycle 1",1,56,"E-28","Alloy 617",314626,"Plate"
155.09,0.00258,"Qualified",,2.27,"CapPass","Cycle 1",1,57,"E-28","Alloy 617",314626,"Plate"
