"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
8.56,0.00005,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"J-5","Alloy 617",314626,"Plate"
16.33,0.00010,"Qualified",,0.07,"CapPass","Cycle 1",1,2,"J-5","Alloy 617",314626,"Plate"
23.50,0.00015,"Qualified",,0.13,"CapPass","Cycle 1",1,3,"J-5","Alloy 617",314626,"Plate"
30.15,0.00020,"Qualified",,0.22,"CapPass","Cycle 1",1,4,"J-5","Alloy 617",314626,"Plate"
35.57,0.00022,"Qualified",,0.31,"CapPass","Cycle 1",1,5,"J-5","Alloy 617",314626,"Plate"
37.52,0.00026,"Qualified",,0.33,"CapPass","Cycle 1",1,6,"J-5","Alloy 617",314626,"Plate"
45.46,0.00031,"Qualified",,0.38,"CapPass","Cycle 1",1,7,"J-5","Alloy 617",314626,"Plate"
52.45,0.00036,"Qualified",,0.42,"CapPass","Cycle 1",1,8,"J-5","Alloy 617",314626,"Plate"
58.71,0.00041,"Qualified",,0.45,"CapPass","Cycle 1",1,9,"J-5","Alloy 617",314626,"Plate"
65.54,0.00047,"Qualified",,0.50,"CapPass","Cycle 1",1,10,"J-5","Alloy 617",314626,"Plate"
72.01,0.00052,"Qualified",,0.56,"CapPass","Cycle 1",1,11,"J-5","Alloy 617",314626,"Plate"
77.51,0.00057,"Qualified",,0.63,"CapPass","Cycle 1",1,12,"J-5","Alloy 617",314626,"Plate"
84.91,0.00062,"Qualified",,0.72,"CapPass","Cycle 1",1,13,"J-5","Alloy 617",314626,"Plate"
92.17,0.00067,"Qualified",,0.78,"CapPass","Cycle 1",1,14,"J-5","Alloy 617",314626,"Plate"
95.64,0.00069,"Qualified",,0.81,"CapPass","Cycle 1",1,15,"J-5","Alloy 617",314626,"Plate"
98.90,0.00072,"Qualified",,0.83,"CapPass","Cycle 1",1,16,"J-5","Alloy 617",314626,"Plate"
105.40,0.00077,"Qualified",,0.87,"CapPass","Cycle 1",1,17,"J-5","Alloy 617",314626,"Plate"
111.82,0.00082,"Qualified",,0.90,"CapPass","Cycle 1",1,18,"J-5","Alloy 617",314626,"Plate"
118.50,0.00088,"Qualified",,0.94,"CapPass","Cycle 1",1,19,"J-5","Alloy 617",314626,"Plate"
124.50,0.00093,"Qualified",,0.97,"CapPass","Cycle 1",1,20,"J-5","Alloy 617",314626,"Plate"
132.17,0.00098,"Qualified",,1.01,"CapPass","Cycle 1",1,21,"J-5","Alloy 617",314626,"Plate"
137.61,0.00103,"Qualified",,1.05,"CapPass","Cycle 1",1,22,"J-5","Alloy 617",314626,"Plate"
144.18,0.00108,"Qualified",,1.10,"CapPass","Cycle 1",1,23,"J-5","Alloy 617",314626,"Plate"
150.59,0.00114,"Qualified",,1.15,"CapPass","Cycle 1",1,24,"J-5","Alloy 617",314626,"Plate"
154.78,0.00119,"Qualified",,1.18,"CapPass","Cycle 1",1,25,"J-5","Alloy 617",314626,"Plate"
160.16,0.00124,"Qualified",,1.23,"CapPass","Cycle 1",1,26,"J-5","Alloy 617",314626,"Plate"
162.66,0.00129,"Qualified",,1.27,"CapPass","Cycle 1",1,27,"J-5","Alloy 617",314626,"Plate"
164.10,0.00135,"Qualified",,1.30,"CapPass","Cycle 1",1,28,"J-5","Alloy 617",314626,"Plate"
164.61,0.00137,"Qualified",,1.31,"CapPass","Cycle 1",1,29,"J-5","Alloy 617",314626,"Plate"
164.64,0.00140,"Qualified",,1.31,"CapPass","Cycle 1",1,30,"J-5","Alloy 617",314626,"Plate"
164.97,0.00145,"Qualified",,1.33,"CapPass","Cycle 1",1,31,"J-5","Alloy 617",314626,"Plate"
165.24,0.00150,"Qualified",,1.35,"CapPass","Cycle 1",1,32,"J-5","Alloy 617",314626,"Plate"
163.62,0.00155,"Qualified",,1.42,"CapPass","Cycle 1",1,33,"J-5","Alloy 617",314626,"Plate"
160.54,0.00160,"Qualified",,1.57,"CapPass","Cycle 1",1,34,"J-5","Alloy 617",314626,"Plate"
162.57,0.00166,"Qualified",,1.62,"CapPass","Cycle 1",1,35,"J-5","Alloy 617",314626,"Plate"
