"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
1,"CapPass",167.56,-154.2,"Qualified",1.086,1.94,5.18,1,"B-14","Alloy 617","Plate",314626
2,"CapPass",142.53,-137.6,"Qualified",1.036,9.84,14.26,2,"B-14","Alloy 617","Plate",314626
3,"CapPass",138.36,-134.2,"Qualified",1.031,18.36,23.92,3,"B-14","Alloy 617","Plate",314626
4,"CapPass",135.68,-133.5,"Qualified",1.016,28.92,33.93,4,"B-14","Alloy 617","Plate",314626
5,"CapPass",134.00,-131.9,"Qualified",1.016,38.93,45.15,5,"B-14","Alloy 617","Plate",314626
6,"CapPass",133.54,-131.8,"Qualified",1.013,50.83,56.53,6,"B-14","Alloy 617","Plate",314626
7,"CapPass",133.88,-131.3,"Qualified",1.019,62.25,67.70,7,"B-14","Alloy 617","Plate",314626
8,"CapPass",133.06,-131.7,"Qualified",1.010,73.71,80.39,8,"B-14","Alloy 617","Plate",314626
9,"CapPass",133.40,-131.5,"Qualified",1.014,86.06,92.01,9,"B-14","Alloy 617","Plate",314626
10,"CapPass",133.48,-131.7,"Qualified",1.014,97.81,104.01,10,"B-14","Alloy 617","Plate",314626
11,"CapPass",132.62,-131.5,"Qualified",1.008,110.40,116.42,11,"B-14","Alloy 617","Plate",314626
12,"CapPass",132.55,-130.9,"Qualified",1.013,122.17,128.30,12,"B-14","Alloy 617","Plate",314626
13,"CapPass",133.36,-131.6,"Qualified",1.014,134.17,140.40,13,"B-14","Alloy 617","Plate",314626
14,"CapPass",132.75,-131.6,"Qualified",1.009,146.40,152.40,14,"B-14","Alloy 617","Plate",314626
15,"CapPass",132.26,-131.1,"Qualified",1.009,158.45,164.46,15,"B-14","Alloy 617","Plate",314626
16,"CapPass",131.80,-130.7,"Qualified",1.008,169.63,176.46,16,"B-14","Alloy 617","Plate",314626
17,"CapPass",132.11,-129.6,"Qualified",1.019,182.03,188.44,17,"B-14","Alloy 617","Plate",314626
18,"CapPass",133.21,-130.3,"Qualified",1.022,194.11,200.46,18,"B-14","Alloy 617","Plate",314626
19,"CapPass",133.10,-130.1,"Qualified",1.023,206.17,212.49,19,"B-14","Alloy 617","Plate",314626
20,"CapPass",132.02,-131.3,"Qualified",1.006,218.49,224.48,20,"B-14","Alloy 617","Plate",314626
21,"CapPass",132.00,-130.4,"Qualified",1.012,229.85,236.11,21,"B-14","Alloy 617","Plate",314626
22,"CapPass",132.42,-131.1,"Qualified",1.010,242.42,248.49,22,"B-14","Alloy 617","Plate",314626
23,"CapPass",132.06,-129.6,"Qualified",1.019,254.04,260.52,23,"B-14","Alloy 617","Plate",314626
24,"CapPass",132.32,-130.3,"Qualified",1.016,266.53,272.53,24,"B-14","Alloy 617","Plate",314626
25,"CapPass",132.50,-131.8,"Qualified",1.006,278.52,284.54,25,"B-14","Alloy 617","Plate",314626
26,"CapPass",132.37,-130.5,"Qualified",1.014,290.10,296.54,26,"B-14","Alloy 617","Plate",314626
27,"CapPass",133.18,-132.3,"Qualified",1.007,302.35,308.54,27,"B-14","Alloy 617","Plate",314626
28,"CapPass",132.65,-130.7,"Qualified",1.015,313.35,320.28,28,"B-14","Alloy 617","Plate",314626
29,"CapPass",133.04,-130.2,"Qualified",1.022,326.56,331.73,29,"B-14","Alloy 617","Plate",314626
30,"CapPass",133.02,-130.6,"Qualified",1.019,338.56,344.58,30,"B-14","Alloy 617","Plate",314626
31,"CapPass",134.48,-130.7,"Qualified",1.029,350.30,356.22,31,"B-14","Alloy 617","Plate",314626
32,"CapPass",133.68,-131.0,"Qualified",1.020,362.60,368.56,32,"B-14","Alloy 617","Plate",314626
33,"CapPass",133.29,-130.4,"Qualified",1.022,374.53,380.62,33,"B-14","Alloy 617","Plate",314626
34,"CapPass",132.87,-130.3,"Qualified",1.020,386.39,392.30,34,"B-14","Alloy 617","Plate",314626
35,"CapPass",132.83,-131.1,"Qualified",1.013,398.18,404.23,35,"B-14","Alloy 617","Plate",314626
36,"CapPass",133.26,-130.4,"Qualified",1.022,410.62,416.51,36,"B-14","Alloy 617","Plate",314626
37,"CapPass",132.14,-131.5,"Qualified",1.005,422.11,428.65,37,"B-14","Alloy 617","Plate",314626
38,"CapPass",132.38,-130.2,"Qualified",1.016,434.03,440.64,38,"B-14","Alloy 617","Plate",314626
39,"CapPass",133.14,-131.2,"Qualified",1.015,446.66,452.65,39,"B-14","Alloy 617","Plate",314626
40,"CapPass",132.81,-130.5,"Qualified",1.017,457.82,464.67,40,"B-14","Alloy 617","Plate",314626
41,"CapPass",132.87,-130.7,"Qualified",1.016,470.38,476.33,41,"B-14","Alloy 617","Plate",314626
42,"CapPass",132.47,-130.7,"Qualified",1.014,482.66,488.68,42,"B-14","Alloy 617","Plate",314626
43,"CapPass",133.59,-130.7,"Qualified",1.022,494.23,500.65,43,"B-14","Alloy 617","Plate",314626
44,"CapPass",132.44,-131.4,"Qualified",1.008,505.32,512.49,44,"B-14","Alloy 617","Plate",314626
45,"CapPass",132.96,-130.2,"Qualified",1.021,518.57,524.71,45,"B-14","Alloy 617","Plate",314626
46,"CapPass",133.20,-130.6,"Qualified",1.020,530.51,536.72,46,"B-14","Alloy 617","Plate",314626
47,"CapPass",131.61,-131.4,"Qualified",1.002,542.67,548.71,47,"B-14","Alloy 617","Plate",314626
48,"CapPass",132.87,-130.6,"Qualified",1.018,554.74,560.73,48,"B-14","Alloy 617","Plate",314626
49,"CapPass",132.77,-130.8,"Qualified",1.015,566.23,572.75,49,"B-14","Alloy 617","Plate",314626
50,"CapPass",134.12,-130.6,"Qualified",1.027,578.62,584.54,50,"B-14","Alloy 617","Plate",314626
51,"CapPass",131.96,-130.4,"Qualified",1.012,590.77,596.18,51,"B-14","Alloy 617","Plate",314626
52,"CapPass",133.09,-130.9,"Qualified",1.017,602.47,608.62,52,"B-14","Alloy 617","Plate",314626
53,"CapPass",132.79,-131.0,"Qualified",1.014,614.77,620.52,53,"B-14","Alloy 617","Plate",314626
54,"CapPass",133.60,-130.5,"Qualified",1.024,626.26,632.79,54,"B-14","Alloy 617","Plate",314626
55,"CapPass",132.91,-130.1,"Qualified",1.021,638.43,644.57,55,"B-14","Alloy 617","Plate",314626
56,"CapPass",133.02,-130.3,"Qualified",1.021,649.90,656.49,56,"B-14","Alloy 617","Plate",314626
57,"CapPass",132.34,-131.3,"Qualified",1.008,662.81,668.82,57,"B-14","Alloy 617","Plate",314626
58,"CapPass",133.70,-130.4,"Qualified",1.025,674.43,680.82,58,"B-14","Alloy 617","Plate",314626
59,"CapPass",133.65,-131.6,"Qualified",1.015,686.83,692.71,59,"B-14","Alloy 617","Plate",314626
60,"CapPass",132.87,-131.1,"Qualified",1.013,697.62,704.83,60,"B-14","Alloy 617","Plate",314626
61,"CapPass",132.57,-131.0,"Qualified",1.012,710.80,716.85,61,"B-14","Alloy 617","Plate",314626
62,"CapPass",133.59,-130.5,"Qualified",1.024,722.82,728.82,62,"B-14","Alloy 617","Plate",314626
63,"CapPass",132.83,-130.7,"Qualified",1.016,734.87,740.81,63,"B-14","Alloy 617","Plate",314626
64,"CapPass",132.10,-130.7,"Qualified",1.011,745.84,752.86,64,"B-14","Alloy 617","Plate",314626
65,"CapPass",133.19,-130.6,"Qualified",1.020,758.31,764.88,65,"B-14","Alloy 617","Plate",314626
66,"CapPass",132.71,-132.4,"Qualified",1.002,770.35,776.88,66,"B-14","Alloy 617","Plate",314626
67,"CapPass",132.74,-131.5,"Qualified",1.009,781.83,788.87,67,"B-14","Alloy 617","Plate",314626
68,"CapPass",132.97,-130.1,"Qualified",1.022,794.41,800.76,68,"B-14","Alloy 617","Plate",314626
69,"CapPass",133.48,-131.6,"Qualified",1.014,806.43,812.93,69,"B-14","Alloy 617","Plate",314626
70,"CapPass",133.30,-130.9,"Qualified",1.018,818.49,824.84,70,"B-14","Alloy 617","Plate",314626
71,"CapPass",133.67,-131.0,"Qualified",1.020,830.72,836.75,71,"B-14","Alloy 617","Plate",314626
72,"CapPass",133.53,-130.5,"Qualified",1.023,842.94,848.95,72,"B-14","Alloy 617","Plate",314626
73,"CapPass",132.65,-130.5,"Qualified",1.016,854.69,860.90,73,"B-14","Alloy 617","Plate",314626
74,"CapPass",134.00,-131.3,"Qualified",1.021,866.07,872.95,74,"B-14","Alloy 617","Plate",314626
75,"CapPass",133.01,-130.4,"Qualified",1.020,878.95,884.98,75,"B-14","Alloy 617","Plate",314626
76,"CapPass",132.56,-130.7,"Qualified",1.014,890.99,896.97,76,"B-14","Alloy 617","Plate",314626
77,"CapPass",133.63,-131.4,"Qualified",1.017,902.80,908.69,77,"B-14","Alloy 617","Plate",314626
78,"CapPass",132.84,-129.9,"Qualified",1.023,914.98,921.00,78,"B-14","Alloy 617","Plate",314626
79,"CapPass",132.81,-130.2,"Qualified",1.020,927.00,932.10,79,"B-14","Alloy 617","Plate",314626
80,"CapPass",133.90,-132.2,"Qualified",1.013,939.02,945.01,80,"B-14","Alloy 617","Plate",314626
81,"CapPass",133.49,-130.4,"Qualified",1.024,950.70,957.02,81,"B-14","Alloy 617","Plate",314626
82,"CapPass",133.61,-130.9,"Qualified",1.021,962.34,968.68,82,"B-14","Alloy 617","Plate",314626
83,"CapPass",134.33,-130.5,"Qualified",1.029,974.88,981.01,83,"B-14","Alloy 617","Plate",314626
84,"CapPass",132.99,-130.7,"Qualified",1.018,986.89,992.96,84,"B-14","Alloy 617","Plate",314626
