"Cycle Label","Data State","Elapsed Time Sec","Qual State","Strain","Stress Mpa","Count","Sample","Alloy","Material_Form","Heat"
"Cycle 1","CapPass",0.00,"Qualified",0.00002,4.49,1,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.05,"Qualified",0.00005,9.46,2,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.08,"Qualified",0.00008,13.35,3,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.11,"Qualified",0.00010,17.22,4,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.13,"Qualified",0.00013,21.18,5,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.16,"Qualified",0.00015,25.24,6,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.19,"Qualified",0.00018,28.49,7,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.22,"Qualified",0.00020,32.32,8,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.25,"Qualified",0.00023,35.78,9,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.28,"Qualified",0.00025,38.89,10,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.31,"Qualified",0.00028,41.96,11,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.35,"Qualified",0.00030,45.68,12,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.39,"Qualified",0.00033,49.15,13,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.44,"Qualified",0.00035,53.05,14,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.48,"Qualified",0.00038,57.29,15,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.52,"Qualified",0.00041,61.80,16,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.54,"Qualified",0.00043,65.38,17,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.57,"Qualified",0.00046,69.27,18,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.59,"Qualified",0.00048,72.92,19,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.61,"Qualified",0.00051,76.67,20,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.64,"Qualified",0.00053,80.44,21,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.66,"Qualified",0.00056,83.75,22,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.68,"Qualified",0.00058,87.18,23,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.70,"Qualified",0.00061,90.88,24,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.72,"Qualified",0.00063,94.06,25,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.75,"Qualified",0.00066,97.33,26,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.77,"Qualified",0.00069,100.53,27,"B-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.78,"Qualified",0.00070,102.00,28,"B-13","Alloy 617","Plate",314626
