"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
5.26,0.00005,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"416-11","Alloy 617",314626,"Plate"
13.42,0.00010,"Qualified",,0.07,"CapPass","Cycle 1",1,2,"416-11","Alloy 617",314626,"Plate"
21.59,0.00015,"Qualified",,0.13,"CapPass","Cycle 1",1,3,"416-11","Alloy 617",314626,"Plate"
29.17,0.00020,"Qualified",,0.34,"CapPass","Cycle 1",1,4,"416-11","Alloy 617",314626,"Plate"
42.83,0.00025,"Qualified",,0.40,"CapPass","Cycle 1",1,5,"416-11","Alloy 617",314626,"Plate"
51.79,0.00031,"Qualified",,0.43,"CapPass","Cycle 1",1,6,"416-11","Alloy 617",314626,"Plate"
59.14,0.00036,"Qualified",,0.46,"CapPass","Cycle 1",1,7,"416-11","Alloy 617",314626,"Plate"
66.04,0.00041,"Qualified",,0.49,"CapPass","Cycle 1",1,8,"416-11","Alloy 617",314626,"Plate"
72.72,0.00046,"Qualified",,0.53,"CapPass","Cycle 1",1,9,"416-11","Alloy 617",314626,"Plate"
79.00,0.00051,"Qualified",,0.57,"CapPass","Cycle 1",1,10,"416-11","Alloy 617",314626,"Plate"
85.55,0.00056,"Qualified",,0.63,"CapPass","Cycle 1",1,11,"416-11","Alloy 617",314626,"Plate"
92.34,0.00061,"Qualified",,0.69,"CapPass","Cycle 1",1,12,"416-11","Alloy 617",314626,"Plate"
98.86,0.00066,"Qualified",,0.75,"CapPass","Cycle 1",1,13,"416-11","Alloy 617",314626,"Plate"
103.47,0.00069,"Qualified",,0.79,"CapPass","Cycle 1",1,14,"416-11","Alloy 617",314626,"Plate"
105.71,0.00071,"Qualified",,0.81,"CapPass","Cycle 1",1,15,"416-11","Alloy 617",314626,"Plate"
113.72,0.00076,"Qualified",,0.89,"CapPass","Cycle 1",1,16,"416-11","Alloy 617",314626,"Plate"
121.36,0.00081,"Qualified",,0.95,"CapPass","Cycle 1",1,17,"416-11","Alloy 617",314626,"Plate"
128.78,0.00086,"Qualified",,1.01,"CapPass","Cycle 1",1,18,"416-11","Alloy 617",314626,"Plate"
136.99,0.00091,"Qualified",,1.06,"CapPass","Cycle 1",1,19,"416-11","Alloy 617",314626,"Plate"
145.65,0.00096,"Qualified",,1.11,"CapPass","Cycle 1",1,20,"416-11","Alloy 617",314626,"Plate"
153.49,0.00101,"Qualified",,1.15,"CapPass","Cycle 1",1,21,"416-11","Alloy 617",314626,"Plate"
161.21,0.00106,"Qualified",,1.20,"CapPass","Cycle 1",1,22,"416-11","Alloy 617",314626,"Plate"
168.30,0.00111,"Qualified",,1.24,"CapPass","Cycle 1",1,23,"416-11","Alloy 617",314626,"Plate"
172.79,0.00116,"Qualified",,1.27,"CapPass","Cycle 1",1,24,"416-11","Alloy 617",314626,"Plate"
173.62,0.00121,"Qualified",,1.28,"CapPass","Cycle 1",1,25,"416-11","Alloy 617",314626,"Plate"
173.98,0.00127,"Qualified",,1.29,"CapPass","Cycle 1",1,26,"416-11","Alloy 617",314626,"Plate"
174.28,0.00132,"Qualified",,1.30,"CapPass","Cycle 1",1,27,"416-11","Alloy 617",314626,"Plate"
174.55,0.00138,"Qualified",,1.31,"CapPass","Cycle 1",1,28,"416-11","Alloy 617",314626,"Plate"
174.67,0.00143,"Qualified",,1.31,"CapPass","Cycle 1",1,29,"416-11","Alloy 617",314626,"Plate"
174.75,0.00149,"Qualified",,1.32,"CapPass","Cycle 1",1,30,"416-11","Alloy 617",314626,"Plate"
174.45,0.00154,"Qualified",,1.33,"CapPass","Cycle 1",1,31,"416-11","Alloy 617",314626,"Plate"
173.94,0.00160,"Qualified",,1.34,"CapPass","Cycle 1",1,32,"416-11","Alloy 617",314626,"Plate"
172.61,0.00165,"Qualified",,1.35,"CapPass","Cycle 1",1,33,"416-11","Alloy 617",314626,"Plate"
155.29,0.00159,"Qualified",,1.43,"CapPass","Cycle 1",1,34,"416-11","Alloy 617",314626,"Plate"
150.67,0.00154,"Qualified",,1.48,"CapPass","Cycle 1",1,35,"416-11","Alloy 617",314626,"Plate"
161.68,0.00159,"Qualified",,1.63,"CapPass","Cycle 1",1,36,"416-11","Alloy 617",314626,"Plate"
169.70,0.00164,"Qualified",,1.69,"CapPass","Cycle 1",1,37,"416-11","Alloy 617",314626,"Plate"
177.33,0.00170,"Qualified",,1.74,"CapPass","Cycle 1",1,38,"416-11","Alloy 617",314626,"Plate"
175.49,0.00175,"Qualified",,1.79,"CapPass","Cycle 1",1,39,"416-11","Alloy 617",314626,"Plate"
175.83,0.00176,"Qualified",,1.79,"CapPass","Cycle 1",1,40,"416-11","Alloy 617",314626,"Plate"
176.44,0.00181,"Qualified",,1.80,"CapPass","Cycle 1",1,41,"416-11","Alloy 617",314626,"Plate"
177.05,0.00186,"Qualified",,1.80,"CapPass","Cycle 1",1,42,"416-11","Alloy 617",314626,"Plate"
177.51,0.00193,"Qualified",,1.81,"CapPass","Cycle 1",1,43,"416-11","Alloy 617",314626,"Plate"
177.96,0.00199,"Qualified",,1.81,"CapPass","Cycle 1",1,44,"416-11","Alloy 617",314626,"Plate"
178.30,0.00205,"Qualified",,1.81,"CapPass","Cycle 1",1,45,"416-11","Alloy 617",314626,"Plate"
178.50,0.00210,"Qualified",,1.82,"CapPass","Cycle 1",1,46,"416-11","Alloy 617",314626,"Plate"
178.48,0.00215,"Qualified",,1.83,"CapPass","Cycle 1",1,47,"416-11","Alloy 617",314626,"Plate"
177.72,0.00220,"Qualified",,1.84,"CapPass","Cycle 1",1,48,"416-11","Alloy 617",314626,"Plate"
158.83,0.00215,"Qualified",,1.91,"CapPass","Cycle 1",1,49,"416-11","Alloy 617",314626,"Plate"
153.03,0.00210,"Qualified",,1.94,"CapPass","Cycle 1",1,50,"416-11","Alloy 617",314626,"Plate"
167.41,0.00215,"Qualified",,2.18,"CapPass","Cycle 1",1,51,"416-11","Alloy 617",314626,"Plate"
175.25,0.00220,"Qualified",,2.24,"CapPass","Cycle 1",1,52,"416-11","Alloy 617",314626,"Plate"
182.68,0.00225,"Qualified",,2.29,"CapPass","Cycle 1",1,53,"416-11","Alloy 617",314626,"Plate"
176.91,0.00231,"Qualified",,2.31,"CapPass","Cycle 1",1,54,"416-11","Alloy 617",314626,"Plate"
177.48,0.00238,"Qualified",,2.32,"CapPass","Cycle 1",1,55,"416-11","Alloy 617",314626,"Plate"
177.92,0.00245,"Qualified",,2.32,"CapPass","Cycle 1",1,56,"416-11","Alloy 617",314626,"Plate"
178.22,0.00250,"Qualified",,2.32,"CapPass","Cycle 1",1,57,"416-11","Alloy 617",314626,"Plate"
178.40,0.00255,"Qualified",,2.32,"CapPass","Cycle 1",1,58,"416-11","Alloy 617",314626,"Plate"
178.75,0.00262,"Qualified",,2.33,"CapPass","Cycle 1",1,59,"416-11","Alloy 617",314626,"Plate"
