"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
-6.35,0.00007,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"416-21","Alloy 617",314626,"Plate"
1.53,0.00012,"Qualified",,0.06,"CapPass","Cycle 1",1,2,"416-21","Alloy 617",314626,"Plate"
8.96,0.00017,"Qualified",,0.12,"CapPass","Cycle 1",1,3,"416-21","Alloy 617",314626,"Plate"
16.30,0.00022,"Qualified",,0.17,"CapPass","Cycle 1",1,4,"416-21","Alloy 617",314626,"Plate"
23.21,0.00027,"Qualified",,0.23,"CapPass","Cycle 1",1,5,"416-21","Alloy 617",314626,"Plate"
29.36,0.00032,"Qualified",,0.44,"CapPass","Cycle 1",1,6,"416-21","Alloy 617",314626,"Plate"
40.83,0.00037,"Qualified",,0.49,"CapPass","Cycle 1",1,7,"416-21","Alloy 617",314626,"Plate"
48.55,0.00042,"Qualified",,0.52,"CapPass","Cycle 1",1,8,"416-21","Alloy 617",314626,"Plate"
55.58,0.00047,"Qualified",,0.54,"CapPass","Cycle 1",1,9,"416-21","Alloy 617",314626,"Plate"
62.21,0.00052,"Qualified",,0.57,"CapPass","Cycle 1",1,10,"416-21","Alloy 617",314626,"Plate"
68.94,0.00057,"Qualified",,0.60,"CapPass","Cycle 1",1,11,"416-21","Alloy 617",314626,"Plate"
75.42,0.00062,"Qualified",,0.64,"CapPass","Cycle 1",1,12,"416-21","Alloy 617",314626,"Plate"
81.91,0.00067,"Qualified",,0.69,"CapPass","Cycle 1",1,13,"416-21","Alloy 617",314626,"Plate"
88.72,0.00072,"Qualified",,0.76,"CapPass","Cycle 1",1,14,"416-21","Alloy 617",314626,"Plate"
89.96,0.00073,"Qualified",,0.77,"CapPass","Cycle 1",1,15,"416-21","Alloy 617",314626,"Plate"
95.98,0.00077,"Qualified",,0.83,"CapPass","Cycle 1",1,16,"416-21","Alloy 617",314626,"Plate"
103.39,0.00082,"Qualified",,0.91,"CapPass","Cycle 1",1,17,"416-21","Alloy 617",314626,"Plate"
110.70,0.00087,"Qualified",,0.97,"CapPass","Cycle 1",1,18,"416-21","Alloy 617",314626,"Plate"
118.23,0.00092,"Qualified",,1.04,"CapPass","Cycle 1",1,19,"416-21","Alloy 617",314626,"Plate"
126.42,0.00097,"Qualified",,1.10,"CapPass","Cycle 1",1,20,"416-21","Alloy 617",314626,"Plate"
134.63,0.00102,"Qualified",,1.14,"CapPass","Cycle 1",1,21,"416-21","Alloy 617",314626,"Plate"
142.62,0.00107,"Qualified",,1.19,"CapPass","Cycle 1",1,22,"416-21","Alloy 617",314626,"Plate"
150.30,0.00112,"Qualified",,1.23,"CapPass","Cycle 1",1,23,"416-21","Alloy 617",314626,"Plate"
157.89,0.00118,"Qualified",,1.27,"CapPass","Cycle 1",1,24,"416-21","Alloy 617",314626,"Plate"
165.31,0.00123,"Qualified",,1.31,"CapPass","Cycle 1",1,25,"416-21","Alloy 617",314626,"Plate"
171.32,0.00128,"Qualified",,1.35,"CapPass","Cycle 1",1,26,"416-21","Alloy 617",314626,"Plate"
172.54,0.00133,"Qualified",,1.37,"CapPass","Cycle 1",1,27,"416-21","Alloy 617",314626,"Plate"
173.11,0.00139,"Qualified",,1.38,"CapPass","Cycle 1",1,28,"416-21","Alloy 617",314626,"Plate"
173.27,0.00144,"Qualified",,1.39,"CapPass","Cycle 1",1,29,"416-21","Alloy 617",314626,"Plate"
173.58,0.00149,"Qualified",,1.39,"CapPass","Cycle 1",1,30,"416-21","Alloy 617",314626,"Plate"
173.87,0.00155,"Qualified",,1.40,"CapPass","Cycle 1",1,31,"416-21","Alloy 617",314626,"Plate"
174.11,0.00160,"Qualified",,1.41,"CapPass","Cycle 1",1,32,"416-21","Alloy 617",314626,"Plate"
174.17,0.00165,"Qualified",,1.41,"CapPass","Cycle 1",1,33,"416-21","Alloy 617",314626,"Plate"
174.24,0.00171,"Qualified",,1.42,"CapPass","Cycle 1",1,34,"416-21","Alloy 617",314626,"Plate"
174.19,0.00176,"Qualified",,1.42,"CapPass","Cycle 1",1,35,"416-21","Alloy 617",314626,"Plate"
174.08,0.00182,"Qualified",,1.43,"CapPass","Cycle 1",1,36,"416-21","Alloy 617",314626,"Plate"
173.77,0.00187,"Qualified",,1.44,"CapPass","Cycle 1",1,37,"416-21","Alloy 617",314626,"Plate"
172.99,0.00192,"Qualified",,1.45,"CapPass","Cycle 1",1,38,"416-21","Alloy 617",314626,"Plate"
151.40,0.00187,"Qualified",,1.54,"CapPass","Cycle 1",1,39,"416-21","Alloy 617",314626,"Plate"
144.38,0.00182,"Qualified",,1.57,"CapPass","Cycle 1",1,40,"416-21","Alloy 617",314626,"Plate"
138.09,0.00177,"Qualified",,1.60,"CapPass","Cycle 1",1,41,"416-21","Alloy 617",314626,"Plate"
132.78,0.00172,"Qualified",,1.64,"CapPass","Cycle 1",1,42,"416-21","Alloy 617",314626,"Plate"
140.41,0.00173,"Qualified",,1.77,"CapPass","Cycle 1",1,43,"416-21","Alloy 617",314626,"Plate"
147.45,0.00177,"Qualified",,1.81,"CapPass","Cycle 1",1,44,"416-21","Alloy 617",314626,"Plate"
155.33,0.00182,"Qualified",,1.85,"CapPass","Cycle 1",1,45,"416-21","Alloy 617",314626,"Plate"
162.48,0.00187,"Qualified",,1.89,"CapPass","Cycle 1",1,46,"416-21","Alloy 617",314626,"Plate"
170.06,0.00192,"Qualified",,1.93,"CapPass","Cycle 1",1,47,"416-21","Alloy 617",314626,"Plate"
176.77,0.00197,"Qualified",,1.98,"CapPass","Cycle 1",1,48,"416-21","Alloy 617",314626,"Plate"
174.34,0.00202,"Qualified",,2.02,"CapPass","Cycle 1",1,49,"416-21","Alloy 617",314626,"Plate"
175.11,0.00208,"Qualified",,2.03,"CapPass","Cycle 1",1,50,"416-21","Alloy 617",314626,"Plate"
175.61,0.00215,"Qualified",,2.03,"CapPass","Cycle 1",1,51,"416-21","Alloy 617",314626,"Plate"
176.10,0.00221,"Qualified",,2.04,"CapPass","Cycle 1",1,52,"416-21","Alloy 617",314626,"Plate"
176.43,0.00227,"Qualified",,2.04,"CapPass","Cycle 1",1,53,"416-21","Alloy 617",314626,"Plate"
176.85,0.00232,"Qualified",,2.04,"CapPass","Cycle 1",1,54,"416-21","Alloy 617",314626,"Plate"
177.29,0.00239,"Qualified",,2.05,"CapPass","Cycle 1",1,55,"416-21","Alloy 617",314626,"Plate"
177.60,0.00244,"Qualified",,2.05,"CapPass","Cycle 1",1,56,"416-21","Alloy 617",314626,"Plate"
177.80,0.00249,"Qualified",,2.06,"CapPass","Cycle 1",1,57,"416-21","Alloy 617",314626,"Plate"
177.79,0.00254,"Qualified",,2.06,"CapPass","Cycle 1",1,58,"416-21","Alloy 617",314626,"Plate"
177.13,0.00260,"Qualified",,2.08,"CapPass","Cycle 1",1,59,"416-21","Alloy 617",314626,"Plate"
154.63,0.00254,"Qualified",,2.17,"CapPass","Cycle 1",1,60,"416-21","Alloy 617",314626,"Plate"
147.23,0.00249,"Qualified",,2.19,"CapPass","Cycle 1",1,61,"416-21","Alloy 617",314626,"Plate"
140.63,0.00244,"Qualified",,2.22,"CapPass","Cycle 1",1,62,"416-21","Alloy 617",314626,"Plate"
134.92,0.00239,"Qualified",,2.25,"CapPass","Cycle 1",1,63,"416-21","Alloy 617",314626,"Plate"
