"Cycle Label","Data State","Elapsed Time Sec","Qual State","Strain","Stress Mpa","Count","Sample","Alloy","Material_Form","Heat"
"Cycle 1","CapPass",-0.00,"Trend",0.00005,6.88,1,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.06,"Trend",0.00010,14.16,2,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.11,"Trend",0.00015,20.64,3,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.18,"Trend",0.00020,27.07,4,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.26,"Trend",0.00025,34.14,5,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.30,"Trend",0.00027,36.94,6,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.36,"Trend",0.00030,41.94,7,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.40,"Trend",0.00035,50.34,8,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.44,"Trend",0.00040,56.66,9,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.47,"Trend",0.00045,63.54,10,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.52,"Trend",0.00050,70.29,11,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.59,"Trend",0.00055,76.48,12,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.66,"Trend",0.00060,83.50,13,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.73,"Trend",0.00065,90.07,14,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.79,"Trend",0.00070,97.34,15,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.80,"Trend",0.00071,98.29,16,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.85,"Trend",0.00075,103.96,17,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.90,"Trend",0.00081,111.59,18,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.93,"Trend",0.00086,118.47,19,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.97,"Trend",0.00091,125.00,20,"E-11","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.01,"Trend",0.00096,132.10,21,"E-11","Alloy 617","Plate",314626
