"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
1,"CapPass",171.96,-143.1,"Trend",1.202,1.67,12.93,1,"E-11","Alloy 617","Plate",314626
2,"CapPass",136.04,-143.8,"Trend",0.946,21.85,30.93,2,"E-11","Alloy 617","Plate",314626
3,"CapPass",137.32,-143.6,"Trend",0.956,40.47,49.81,3,"E-11","Alloy 617","Plate",314626
4,"CapPass",137.50,-143.4,"Trend",0.959,59.66,69.78,4,"E-11","Alloy 617","Plate",314626
5,"CapPass",137.55,-144.2,"Trend",0.954,79.69,89.72,5,"E-11","Alloy 617","Plate",314626
6,"CapPass",137.98,-143.6,"Trend",0.961,99.37,109.64,6,"E-11","Alloy 617","Plate",314626
7,"CapPass",137.75,-143.9,"Trend",0.957,118.75,129.57,7,"E-11","Alloy 617","Plate",314626
8,"CapPass",137.47,-144.2,"Trend",0.953,139.45,149.31,8,"E-11","Alloy 617","Plate",314626
9,"CapPass",137.06,-143.0,"Trend",0.958,158.77,169.57,9,"E-11","Alloy 617","Plate",314626
10,"CapPass",137.22,-143.6,"Trend",0.956,179.75,189.75,10,"E-11","Alloy 617","Plate",314626
11,"CapPass",137.32,-143.7,"Trend",0.955,198.89,209.75,11,"E-11","Alloy 617","Plate",314626
12,"CapPass",137.17,-143.2,"Trend",0.958,219.77,229.43,12,"E-11","Alloy 617","Plate",314626
13,"CapPass",136.99,-143.7,"Trend",0.953,239.59,249.68,13,"E-11","Alloy 617","Plate",314626
14,"CapPass",137.65,-144.7,"Trend",0.952,258.97,269.78,14,"E-11","Alloy 617","Plate",314626
15,"CapPass",137.47,-143.2,"Trend",0.960,279.15,289.80,15,"E-11","Alloy 617","Plate",314626
16,"CapPass",137.81,-142.9,"Trend",0.964,299.81,308.97,16,"E-11","Alloy 617","Plate",314626
17,"CapPass",137.63,-143.0,"Trend",0.963,319.83,329.16,17,"E-11","Alloy 617","Plate",314626
18,"CapPass",137.29,-143.6,"Trend",0.956,339.83,349.76,18,"E-11","Alloy 617","Plate",314626
19,"CapPass",137.11,-142.4,"Trend",0.963,359.53,369.84,19,"E-11","Alloy 617","Plate",314626
20,"CapPass",137.82,-143.3,"Trend",0.962,378.95,388.79,20,"E-11","Alloy 617","Plate",314626
21,"CapPass",137.29,-142.7,"Trend",0.962,399.85,409.41,21,"E-11","Alloy 617","Plate",314626
22,"CapPass",137.66,-142.7,"Trend",0.964,419.38,429.86,22,"E-11","Alloy 617","Plate",314626
23,"CapPass",137.02,-143.2,"Trend",0.957,439.54,449.88,23,"E-11","Alloy 617","Plate",314626
24,"CapPass",137.45,-143.2,"Trend",0.960,459.88,469.34,24,"E-11","Alloy 617","Plate",314626
25,"CapPass",136.95,-142.6,"Trend",0.960,479.07,489.90,25,"E-11","Alloy 617","Plate",314626
26,"CapPass",137.30,-143.3,"Trend",0.958,499.21,509.90,26,"E-11","Alloy 617","Plate",314626
27,"CapPass",136.91,-142.1,"Trend",0.964,518.98,529.91,27,"E-11","Alloy 617","Plate",314626
28,"CapPass",137.43,-142.7,"Trend",0.963,539.84,549.89,28,"E-11","Alloy 617","Plate",314626
29,"CapPass",137.48,-142.1,"Trend",0.968,559.13,569.86,29,"E-11","Alloy 617","Plate",314626
30,"CapPass",137.58,-142.0,"Trend",0.969,579.93,589.37,30,"E-11","Alloy 617","Plate",314626
31,"CapPass",136.86,-142.7,"Trend",0.959,599.71,609.94,31,"E-11","Alloy 617","Plate",314626
32,"CapPass",137.08,-143.1,"Trend",0.958,618.42,629.95,32,"E-11","Alloy 617","Plate",314626
33,"CapPass",136.84,-142.4,"Trend",0.961,639.62,649.97,33,"E-11","Alloy 617","Plate",314626
34,"CapPass",138.16,-142.2,"Trend",0.972,659.96,669.86,34,"E-11","Alloy 617","Plate",314626
35,"CapPass",137.28,-143.4,"Trend",0.957,679.12,689.97,35,"E-11","Alloy 617","Plate",314626
36,"CapPass",138.10,-142.3,"Trend",0.970,699.96,709.99,36,"E-11","Alloy 617","Plate",314626
37,"CapPass",136.55,-142.5,"Trend",0.958,719.88,729.89,37,"E-11","Alloy 617","Plate",314626
38,"CapPass",137.76,-143.0,"Trend",0.963,739.84,749.74,38,"E-11","Alloy 617","Plate",314626
39,"CapPass",136.75,-142.7,"Trend",0.958,759.53,769.99,39,"E-11","Alloy 617","Plate",314626
40,"CapPass",137.81,-141.5,"Trend",0.974,779.83,790.03,40,"E-11","Alloy 617","Plate",314626
41,"CapPass",137.74,-142.2,"Trend",0.969,799.85,809.16,41,"E-11","Alloy 617","Plate",314626
42,"CapPass",137.83,-141.5,"Trend",0.974,818.93,830.04,42,"E-11","Alloy 617","Plate",314626
43,"CapPass",136.67,-142.0,"Trend",0.963,839.16,849.82,43,"E-11","Alloy 617","Plate",314626
44,"CapPass",136.92,-142.5,"Trend",0.961,859.25,870.06,44,"E-11","Alloy 617","Plate",314626
45,"CapPass",137.93,-141.2,"Trend",0.977,879.91,889.62,45,"E-11","Alloy 617","Plate",314626
46,"CapPass",137.19,-142.0,"Trend",0.966,899.41,909.39,46,"E-11","Alloy 617","Plate",314626
