"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
1,"CapPass",174.07,-136.5,"Qualified",1.275,1.76,13.02,1,"E-12","Alloy 617","Plate",314626
2,"CapPass",137.19,-138.3,"Qualified",0.992,22.07,30.99,2,"E-12","Alloy 617","Plate",314626
3,"CapPass",138.36,-138.1,"Qualified",1.002,40.69,50.28,3,"E-12","Alloy 617","Plate",314626
4,"CapPass",138.76,-138.7,"Qualified",1.001,59.68,69.79,4,"E-12","Alloy 617","Plate",314626
5,"CapPass",138.33,-138.3,"Qualified",1.000,79.34,89.27,5,"E-12","Alloy 617","Plate",314626
6,"CapPass",138.93,-138.5,"Qualified",1.003,99.72,109.72,6,"E-12","Alloy 617","Plate",314626
7,"CapPass",138.32,-138.3,"Qualified",1.000,119.73,129.74,7,"E-12","Alloy 617","Plate",314626
8,"CapPass",138.19,-138.9,"Qualified",0.995,138.79,149.67,8,"E-12","Alloy 617","Plate",314626
9,"CapPass",137.99,-137.5,"Qualified",1.004,159.74,169.53,9,"E-12","Alloy 617","Plate",314626
10,"CapPass",139.36,-137.3,"Qualified",1.015,179.75,189.67,10,"E-12","Alloy 617","Plate",314626
11,"CapPass",139.20,-137.7,"Qualified",1.011,199.67,209.20,11,"E-12","Alloy 617","Plate",314626
12,"CapPass",139.01,-137.6,"Qualified",1.010,219.63,229.10,12,"E-12","Alloy 617","Plate",314626
13,"CapPass",139.09,-137.4,"Qualified",1.012,239.75,249.76,13,"E-12","Alloy 617","Plate",314626
14,"CapPass",139.37,-137.1,"Qualified",1.017,259.36,269.79,14,"E-12","Alloy 617","Plate",314626
15,"CapPass",138.20,-137.9,"Qualified",1.002,279.79,289.48,15,"E-12","Alloy 617","Plate",314626
16,"CapPass",137.87,-138.1,"Qualified",0.998,299.06,309.78,16,"E-12","Alloy 617","Plate",314626
17,"CapPass",137.78,-137.2,"Qualified",1.004,319.49,329.57,17,"E-12","Alloy 617","Plate",314626
18,"CapPass",138.18,-137.6,"Qualified",1.004,338.41,349.73,18,"E-12","Alloy 617","Plate",314626
19,"CapPass",138.12,-136.8,"Qualified",1.010,359.83,369.83,19,"E-12","Alloy 617","Plate",314626
20,"CapPass",138.08,-136.8,"Qualified",1.010,378.25,389.66,20,"E-12","Alloy 617","Plate",314626
21,"CapPass",137.88,-136.6,"Qualified",1.009,399.06,409.59,21,"E-12","Alloy 617","Plate",314626
22,"CapPass",137.71,-136.7,"Qualified",1.007,419.58,429.39,22,"E-12","Alloy 617","Plate",314626
23,"CapPass",138.16,-137.3,"Qualified",1.006,439.87,449.87,23,"E-12","Alloy 617","Plate",314626
24,"CapPass",137.16,-136.9,"Qualified",1.002,459.35,469.88,24,"E-12","Alloy 617","Plate",314626
25,"CapPass",137.78,-136.3,"Qualified",1.011,479.40,489.86,25,"E-12","Alloy 617","Plate",314626
26,"CapPass",137.81,-136.7,"Qualified",1.008,499.85,509.90,26,"E-12","Alloy 617","Plate",314626
27,"CapPass",137.75,-135.6,"Qualified",1.016,519.08,528.65,27,"E-12","Alloy 617","Plate",314626
28,"CapPass",137.44,-137.2,"Qualified",1.002,539.70,549.83,28,"E-12","Alloy 617","Plate",314626
29,"CapPass",137.91,-136.7,"Qualified",1.009,559.10,569.91,29,"E-12","Alloy 617","Plate",314626
30,"CapPass",137.53,-137.3,"Qualified",1.002,579.80,589.93,30,"E-12","Alloy 617","Plate",314626
31,"CapPass",138.70,-136.9,"Qualified",1.013,599.81,609.90,31,"E-12","Alloy 617","Plate",314626
32,"CapPass",138.03,-136.4,"Qualified",1.012,619.50,629.96,32,"E-12","Alloy 617","Plate",314626
33,"CapPass",137.78,-136.0,"Qualified",1.013,639.75,649.49,33,"E-12","Alloy 617","Plate",314626
34,"CapPass",138.19,-136.3,"Qualified",1.014,659.65,669.23,34,"E-12","Alloy 617","Plate",314626
35,"CapPass",138.71,-136.9,"Qualified",1.013,679.97,689.68,35,"E-12","Alloy 617","Plate",314626
36,"CapPass",138.14,-136.1,"Qualified",1.015,699.95,709.76,36,"E-12","Alloy 617","Plate",314626
37,"CapPass",137.38,-136.4,"Qualified",1.007,719.99,729.93,37,"E-12","Alloy 617","Plate",314626
38,"CapPass",137.62,-135.4,"Qualified",1.017,740.00,749.87,38,"E-12","Alloy 617","Plate",314626
