"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
2,"CapPass",203.15,-212.7,"Trend",0.955,22.10,32.08,1,"416-9","Alloy 617","Plate",314626
3,"CapPass",218.19,-222.0,"Trend",0.983,40.91,51.18,2,"416-9","Alloy 617","Plate",314626
4,"CapPass",225.79,-233.8,"Trend",0.966,60.69,70.81,3,"416-9","Alloy 617","Plate",314626
5,"CapPass",233.31,-242.0,"Trend",0.964,79.73,90.47,4,"416-9","Alloy 617","Plate",314626
6,"CapPass",243.81,-250.7,"Trend",0.973,100.65,110.72,5,"416-9","Alloy 617","Plate",314626
7,"CapPass",252.53,-253.5,"Trend",0.996,120.37,130.75,6,"416-9","Alloy 617","Plate",314626
8,"CapPass",253.30,-257.8,"Trend",0.983,140.29,150.18,7,"416-9","Alloy 617","Plate",314626
9,"CapPass",254.82,-261.1,"Trend",0.976,160.95,170.47,8,"416-9","Alloy 617","Plate",314626
10,"CapPass",258.06,-259.3,"Trend",0.995,179.90,189.45,9,"416-9","Alloy 617","Plate",314626
11,"CapPass",254.42,-256.7,"Trend",0.991,200.00,210.84,10,"416-9","Alloy 617","Plate",314626
12,"CapPass",258.75,-265.8,"Trend",0.973,220.34,230.61,11,"416-9","Alloy 617","Plate",314626
13,"CapPass",263.26,-263.2,"Trend",1.000,240.32,251.02,12,"416-9","Alloy 617","Plate",314626
14,"CapPass",260.25,-261.6,"Trend",0.995,260.26,269.92,13,"416-9","Alloy 617","Plate",314626
15,"CapPass",262.83,-265.3,"Trend",0.991,280.40,291.05,14,"416-9","Alloy 617","Plate",314626
16,"CapPass",263.04,-268.4,"Trend",0.980,300.06,310.67,15,"416-9","Alloy 617","Plate",314626
17,"CapPass",259.70,-263.8,"Trend",0.984,319.91,330.12,16,"416-9","Alloy 617","Plate",314626
18,"CapPass",259.61,-266.5,"Trend",0.974,338.90,349.56,17,"416-9","Alloy 617","Plate",314626
19,"CapPass",261.46,-267.3,"Trend",0.978,360.31,370.45,18,"416-9","Alloy 617","Plate",314626
20,"CapPass",264.97,-266.6,"Trend",0.994,380.56,390.67,19,"416-9","Alloy 617","Plate",314626
21,"CapPass",265.94,-272.1,"Trend",0.977,400.78,410.96,20,"416-9","Alloy 617","Plate",314626
22,"CapPass",267.33,-269.6,"Trend",0.991,421.09,431.11,21,"416-9","Alloy 617","Plate",314626
23,"CapPass",268.75,-271.5,"Trend",0.990,440.82,451.11,22,"416-9","Alloy 617","Plate",314626
24,"CapPass",265.18,-270.7,"Trend",0.979,459.42,470.94,23,"416-9","Alloy 617","Plate",314626
25,"CapPass",268.46,-269.9,"Trend",0.995,480.35,490.52,24,"416-9","Alloy 617","Plate",314626
26,"CapPass",268.98,-272.5,"Trend",0.987,500.27,510.89,25,"416-9","Alloy 617","Plate",314626
27,"CapPass",270.97,-269.2,"Trend",1.006,521.07,530.78,26,"416-9","Alloy 617","Plate",314626
28,"CapPass",272.13,-275.4,"Trend",0.988,541.14,551.10,27,"416-9","Alloy 617","Plate",314626
29,"CapPass",271.82,-275.2,"Trend",0.988,560.83,570.81,28,"416-9","Alloy 617","Plate",314626
30,"CapPass",273.21,-275.2,"Trend",0.993,581.14,591.16,29,"416-9","Alloy 617","Plate",314626
31,"CapPass",267.11,-269.8,"Trend",0.990,600.68,610.97,30,"416-9","Alloy 617","Plate",314626
32,"CapPass",266.11,-267.1,"Trend",0.996,620.89,630.54,31,"416-9","Alloy 617","Plate",314626
33,"CapPass",266.12,-268.3,"Trend",0.992,640.75,650.06,32,"416-9","Alloy 617","Plate",314626
34,"CapPass",269.99,-272.5,"Trend",0.991,660.96,670.87,33,"416-9","Alloy 617","Plate",314626
35,"CapPass",264.62,-268.1,"Trend",0.987,680.20,690.35,34,"416-9","Alloy 617","Plate",314626
36,"CapPass",267.70,-275.6,"Trend",0.971,700.68,710.76,35,"416-9","Alloy 617","Plate",314626
37,"CapPass",273.09,-268.9,"Trend",1.016,720.77,729.73,36,"416-9","Alloy 617","Plate",314626
38,"CapPass",268.52,-272.2,"Trend",0.986,740.05,750.04,37,"416-9","Alloy 617","Plate",314626
39,"CapPass",266.80,-275.4,"Trend",0.969,759.89,770.97,38,"416-9","Alloy 617","Plate",314626
40,"CapPass",271.90,-272.5,"Trend",0.998,780.06,790.04,39,"416-9","Alloy 617","Plate",314626
41,"CapPass",266.40,-268.4,"Trend",0.993,800.16,808.96,40,"416-9","Alloy 617","Plate",314626
42,"CapPass",271.23,-275.2,"Trend",0.986,821.24,830.79,41,"416-9","Alloy 617","Plate",314626
43,"CapPass",269.58,-270.8,"Trend",0.995,840.79,850.04,42,"416-9","Alloy 617","Plate",314626
44,"CapPass",267.61,-274.7,"Trend",0.974,861.28,870.69,43,"416-9","Alloy 617","Plate",314626
45,"CapPass",268.68,-268.8,"Trend",1.000,879.37,889.69,44,"416-9","Alloy 617","Plate",314626
46,"CapPass",268.98,-268.1,"Trend",1.003,901.30,910.56,45,"416-9","Alloy 617","Plate",314626
47,"CapPass",269.33,-272.6,"Trend",0.988,921.04,931.21,46,"416-9","Alloy 617","Plate",314626
48,"CapPass",270.35,-272.0,"Trend",0.994,940.49,950.09,47,"416-9","Alloy 617","Plate",314626
49,"CapPass",267.33,-273.0,"Trend",0.979,960.83,970.87,48,"416-9","Alloy 617","Plate",314626
50,"CapPass",269.83,-272.9,"Trend",0.989,980.04,989.76,49,"416-9","Alloy 617","Plate",314626
51,"CapPass",271.75,-271.0,"Trend",1.003,1000.52,1010.73,50,"416-9","Alloy 617","Plate",314626
52,"CapPass",268.43,-271.3,"Trend",0.990,1020.50,1030.48,51,"416-9","Alloy 617","Plate",314626
53,"CapPass",270.94,-272.3,"Trend",0.995,1041.25,1049.46,52,"416-9","Alloy 617","Plate",314626
54,"CapPass",270.70,-276.1,"Trend",0.980,1061.27,1070.55,53,"416-9","Alloy 617","Plate",314626
55,"CapPass",270.23,-270.8,"Trend",0.998,1081.37,1090.44,54,"416-9","Alloy 617","Plate",314626
56,"CapPass",271.32,-273.1,"Trend",0.994,1101.29,1110.58,55,"416-9","Alloy 617","Plate",314626
57,"CapPass",268.75,-270.0,"Trend",0.995,1120.32,1130.66,56,"416-9","Alloy 617","Plate",314626
58,"CapPass",270.94,-277.1,"Trend",0.978,1141.24,1151.32,57,"416-9","Alloy 617","Plate",314626
59,"CapPass",272.64,-273.4,"Trend",0.997,1161.41,1170.59,58,"416-9","Alloy 617","Plate",314626
60,"CapPass",272.87,-273.4,"Trend",0.998,1181.22,1190.35,59,"416-9","Alloy 617","Plate",314626
61,"CapPass",268.05,-270.2,"Trend",0.992,1199.84,1210.35,60,"416-9","Alloy 617","Plate",314626
62,"CapPass",273.94,-275.1,"Trend",0.996,1221.32,1230.68,61,"416-9","Alloy 617","Plate",314626
63,"CapPass",271.16,-270.3,"Trend",1.003,1240.20,1251.31,62,"416-9","Alloy 617","Plate",314626
64,"CapPass",274.05,-271.2,"Trend",1.010,1260.90,1270.73,63,"416-9","Alloy 617","Plate",314626
65,"CapPass",270.73,-271.2,"Trend",0.998,1280.42,1291.48,64,"416-9","Alloy 617","Plate",314626
66,"CapPass",273.83,-277.0,"Trend",0.989,1301.46,1310.76,65,"416-9","Alloy 617","Plate",314626
67,"CapPass",272.34,-273.3,"Trend",0.997,1321.25,1330.22,66,"416-9","Alloy 617","Plate",314626
68,"CapPass",270.25,-278.6,"Trend",0.970,1341.49,1350.71,67,"416-9","Alloy 617","Plate",314626
69,"CapPass",269.66,-275.3,"Trend",0.979,1360.86,1371.47,68,"416-9","Alloy 617","Plate",314626
70,"CapPass",270.65,-277.7,"Trend",0.975,1380.28,1390.69,69,"416-9","Alloy 617","Plate",314626
71,"CapPass",271.68,-274.2,"Trend",0.991,1401.30,1411.07,70,"416-9","Alloy 617","Plate",314626
72,"CapPass",272.17,-275.9,"Trend",0.987,1420.71,1430.35,71,"416-9","Alloy 617","Plate",314626
73,"CapPass",274.24,-272.6,"Trend",1.006,1441.53,1450.55,72,"416-9","Alloy 617","Plate",314626
74,"CapPass",272.70,-276.0,"Trend",0.988,1461.55,1471.45,73,"416-9","Alloy 617","Plate",314626
75,"CapPass",272.68,-274.7,"Trend",0.993,1481.31,1489.24,74,"416-9","Alloy 617","Plate",314626
76,"CapPass",270.06,-272.3,"Trend",0.992,1500.43,1511.59,75,"416-9","Alloy 617","Plate",314626
77,"CapPass",269.46,-278.4,"Trend",0.968,1521.14,1531.48,76,"416-9","Alloy 617","Plate",314626
78,"CapPass",271.63,-277.0,"Trend",0.981,1540.71,1551.35,77,"416-9","Alloy 617","Plate",314626
79,"CapPass",275.41,-270.8,"Trend",1.017,1560.77,1570.91,78,"416-9","Alloy 617","Plate",314626
80,"CapPass",271.06,-275.9,"Trend",0.982,1580.56,1591.08,79,"416-9","Alloy 617","Plate",314626
81,"CapPass",272.66,-277.1,"Trend",0.984,1601.08,1610.98,80,"416-9","Alloy 617","Plate",314626
82,"CapPass",274.57,-273.5,"Trend",1.004,1620.69,1630.95,81,"416-9","Alloy 617","Plate",314626
83,"CapPass",272.77,-278.2,"Trend",0.980,1640.73,1651.61,82,"416-9","Alloy 617","Plate",314626
84,"CapPass",272.53,-278.3,"Trend",0.979,1660.64,1671.26,83,"416-9","Alloy 617","Plate",314626
85,"CapPass",268.14,-273.6,"Trend",0.980,1681.21,1691.21,84,"416-9","Alloy 617","Plate",314626
86,"CapPass",272.23,-277.2,"Trend",0.982,1701.64,1711.13,85,"416-9","Alloy 617","Plate",314626
87,"CapPass",270.77,-271.7,"Trend",0.997,1721.65,1731.67,86,"416-9","Alloy 617","Plate",314626
88,"CapPass",273.44,-275.0,"Trend",0.994,1741.25,1751.49,87,"416-9","Alloy 617","Plate",314626
89,"CapPass",271.68,-272.8,"Trend",0.996,1760.82,1770.35,88,"416-9","Alloy 617","Plate",314626
90,"CapPass",270.00,-273.4,"Trend",0.987,1780.96,1791.39,89,"416-9","Alloy 617","Plate",314626
91,"CapPass",267.46,-273.1,"Trend",0.979,1801.69,1810.64,90,"416-9","Alloy 617","Plate",314626
92,"CapPass",275.05,-274.1,"Trend",1.004,1820.91,1830.30,91,"416-9","Alloy 617","Plate",314626
93,"CapPass",268.85,-278.1,"Trend",0.967,1841.72,1851.41,92,"416-9","Alloy 617","Plate",314626
94,"CapPass",273.92,-279.4,"Trend",0.980,1861.31,1871.66,93,"416-9","Alloy 617","Plate",314626
95,"CapPass",274.51,-279.0,"Trend",0.984,1879.90,1891.48,94,"416-9","Alloy 617","Plate",314626
