"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
14.06,0.00005,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"416-14","Alloy 617",314626,"Plate"
21.52,0.00010,"Qualified",,0.07,"CapPass","Cycle 1",1,2,"416-14","Alloy 617",314626,"Plate"
31.01,0.00015,"Qualified",,0.27,"CapPass","Cycle 1",1,3,"416-14","Alloy 617",314626,"Plate"
42.72,0.00020,"Qualified",,0.32,"CapPass","Cycle 1",1,4,"416-14","Alloy 617",314626,"Plate"
50.41,0.00025,"Qualified",,0.35,"CapPass","Cycle 1",1,5,"416-14","Alloy 617",314626,"Plate"
57.09,0.00030,"Qualified",,0.38,"CapPass","Cycle 1",1,6,"416-14","Alloy 617",314626,"Plate"
63.79,0.00035,"Qualified",,0.41,"CapPass","Cycle 1",1,7,"416-14","Alloy 617",314626,"Plate"
70.83,0.00040,"Qualified",,0.45,"CapPass","Cycle 1",1,8,"416-14","Alloy 617",314626,"Plate"
78.01,0.00045,"Qualified",,0.50,"CapPass","Cycle 1",1,9,"416-14","Alloy 617",314626,"Plate"
85.05,0.00050,"Qualified",,0.56,"CapPass","Cycle 1",1,10,"416-14","Alloy 617",314626,"Plate"
92.55,0.00055,"Qualified",,0.62,"CapPass","Cycle 1",1,11,"416-14","Alloy 617",314626,"Plate"
100.17,0.00060,"Qualified",,0.69,"CapPass","Cycle 1",1,12,"416-14","Alloy 617",314626,"Plate"
107.79,0.00065,"Qualified",,0.75,"CapPass","Cycle 1",1,13,"416-14","Alloy 617",314626,"Plate"
112.59,0.00068,"Qualified",,0.79,"CapPass","Cycle 1",1,14,"416-14","Alloy 617",314626,"Plate"
115.71,0.00070,"Qualified",,0.82,"CapPass","Cycle 1",1,15,"416-14","Alloy 617",314626,"Plate"
123.20,0.00075,"Qualified",,0.88,"CapPass","Cycle 1",1,16,"416-14","Alloy 617",314626,"Plate"
130.59,0.00080,"Qualified",,0.94,"CapPass","Cycle 1",1,17,"416-14","Alloy 617",314626,"Plate"
138.57,0.00085,"Qualified",,0.99,"CapPass","Cycle 1",1,18,"416-14","Alloy 617",314626,"Plate"
146.17,0.00090,"Qualified",,1.03,"CapPass","Cycle 1",1,19,"416-14","Alloy 617",314626,"Plate"
153.23,0.00095,"Qualified",,1.07,"CapPass","Cycle 1",1,20,"416-14","Alloy 617",314626,"Plate"
159.84,0.00100,"Qualified",,1.11,"CapPass","Cycle 1",1,21,"416-14","Alloy 617",314626,"Plate"
164.26,0.00105,"Qualified",,1.14,"CapPass","Cycle 1",1,22,"416-14","Alloy 617",314626,"Plate"
165.86,0.00111,"Qualified",,1.16,"CapPass","Cycle 1",1,23,"416-14","Alloy 617",314626,"Plate"
166.68,0.00116,"Qualified",,1.18,"CapPass","Cycle 1",1,24,"416-14","Alloy 617",314626,"Plate"
167.17,0.00121,"Qualified",,1.19,"CapPass","Cycle 1",1,25,"416-14","Alloy 617",314626,"Plate"
167.53,0.00126,"Qualified",,1.20,"CapPass","Cycle 1",1,26,"416-14","Alloy 617",314626,"Plate"
167.64,0.00132,"Qualified",,1.21,"CapPass","Cycle 1",1,27,"416-14","Alloy 617",314626,"Plate"
167.55,0.00137,"Qualified",,1.22,"CapPass","Cycle 1",1,28,"416-14","Alloy 617",314626,"Plate"
167.12,0.00142,"Qualified",,1.23,"CapPass","Cycle 1",1,29,"416-14","Alloy 617",314626,"Plate"
164.97,0.00147,"Qualified",,1.25,"CapPass","Cycle 1",1,30,"416-14","Alloy 617",314626,"Plate"
155.67,0.00142,"Qualified",,1.35,"CapPass","Cycle 1",1,31,"416-14","Alloy 617",314626,"Plate"
166.04,0.00147,"Qualified",,1.49,"CapPass","Cycle 1",1,32,"416-14","Alloy 617",314626,"Plate"
172.23,0.00152,"Qualified",,1.54,"CapPass","Cycle 1",1,33,"416-14","Alloy 617",314626,"Plate"
166.79,0.00157,"Qualified",,1.58,"CapPass","Cycle 1",1,34,"416-14","Alloy 617",314626,"Plate"
167.45,0.00163,"Qualified",,1.58,"CapPass","Cycle 1",1,35,"416-14","Alloy 617",314626,"Plate"
167.82,0.00169,"Qualified",,1.58,"CapPass","Cycle 1",1,36,"416-14","Alloy 617",314626,"Plate"
168.23,0.00176,"Qualified",,1.59,"CapPass","Cycle 1",1,37,"416-14","Alloy 617",314626,"Plate"
168.45,0.00181,"Qualified",,1.59,"CapPass","Cycle 1",1,38,"416-14","Alloy 617",314626,"Plate"
168.58,0.00187,"Qualified",,1.59,"CapPass","Cycle 1",1,39,"416-14","Alloy 617",314626,"Plate"
168.91,0.00194,"Qualified",,1.59,"CapPass","Cycle 1",1,40,"416-14","Alloy 617",314626,"Plate"
169.06,0.00200,"Qualified",,1.60,"CapPass","Cycle 1",1,41,"416-14","Alloy 617",314626,"Plate"
169.24,0.00206,"Qualified",,1.60,"CapPass","Cycle 1",1,42,"416-14","Alloy 617",314626,"Plate"
169.16,0.00212,"Qualified",,1.60,"CapPass","Cycle 1",1,43,"416-14","Alloy 617",314626,"Plate"
168.76,0.00218,"Qualified",,1.61,"CapPass","Cycle 1",1,44,"416-14","Alloy 617",314626,"Plate"
167.85,0.00223,"Qualified",,1.62,"CapPass","Cycle 1",1,45,"416-14","Alloy 617",314626,"Plate"
145.65,0.00218,"Qualified",,1.66,"CapPass","Cycle 1",1,46,"416-14","Alloy 617",314626,"Plate"
138.20,0.00212,"Qualified",,1.67,"CapPass","Cycle 1",1,47,"416-14","Alloy 617",314626,"Plate"
131.45,0.00207,"Qualified",,1.69,"CapPass","Cycle 1",1,48,"416-14","Alloy 617",314626,"Plate"
125.48,0.00202,"Qualified",,1.70,"CapPass","Cycle 1",1,49,"416-14","Alloy 617",314626,"Plate"
119.81,0.00197,"Qualified",,1.72,"CapPass","Cycle 1",1,50,"416-14","Alloy 617",314626,"Plate"
115.17,0.00192,"Qualified",,1.74,"CapPass","Cycle 1",1,51,"416-14","Alloy 617",314626,"Plate"
112.78,0.00187,"Qualified",,1.79,"CapPass","Cycle 1",1,52,"416-14","Alloy 617",314626,"Plate"
128.52,0.00197,"Qualified",,1.95,"CapPass","Cycle 1",1,53,"416-14","Alloy 617",314626,"Plate"
135.40,0.00202,"Qualified",,2.00,"CapPass","Cycle 1",1,54,"416-14","Alloy 617",314626,"Plate"
142.31,0.00207,"Qualified",,2.06,"CapPass","Cycle 1",1,55,"416-14","Alloy 617",314626,"Plate"
149.71,0.00212,"Qualified",,2.12,"CapPass","Cycle 1",1,56,"416-14","Alloy 617",314626,"Plate"
157.06,0.00217,"Qualified",,2.18,"CapPass","Cycle 1",1,57,"416-14","Alloy 617",314626,"Plate"
164.27,0.00222,"Qualified",,2.23,"CapPass","Cycle 1",1,58,"416-14","Alloy 617",314626,"Plate"
171.25,0.00227,"Qualified",,2.29,"CapPass","Cycle 1",1,59,"416-14","Alloy 617",314626,"Plate"
167.94,0.00232,"Qualified",,2.33,"CapPass","Cycle 1",1,60,"416-14","Alloy 617",314626,"Plate"
168.60,0.00237,"Qualified",,2.34,"CapPass","Cycle 1",1,61,"416-14","Alloy 617",314626,"Plate"
169.07,0.00243,"Qualified",,2.34,"CapPass","Cycle 1",1,62,"416-14","Alloy 617",314626,"Plate"
169.44,0.00250,"Qualified",,2.34,"CapPass","Cycle 1",1,63,"416-14","Alloy 617",314626,"Plate"
169.80,0.00255,"Qualified",,2.35,"CapPass","Cycle 1",1,64,"416-14","Alloy 617",314626,"Plate"
169.97,0.00260,"Qualified",,2.35,"CapPass","Cycle 1",1,65,"416-14","Alloy 617",314626,"Plate"
170.21,0.00265,"Qualified",,2.35,"CapPass","Cycle 1",1,66,"416-14","Alloy 617",314626,"Plate"
170.47,0.00272,"Qualified",,2.35,"CapPass","Cycle 1",1,67,"416-14","Alloy 617",314626,"Plate"
170.61,0.00278,"Qualified",,2.36,"CapPass","Cycle 1",1,68,"416-14","Alloy 617",314626,"Plate"
170.75,0.00284,"Qualified",,2.36,"CapPass","Cycle 1",1,69,"416-14","Alloy 617",314626,"Plate"
