"Cycle Label","Data State","Elapsed Time Sec","Qual State","Strain","Stress Mpa","Count","Sample","Alloy","Material_Form","Heat"
"Cycle 1","CapPass",0.00,"Trend",0.00003,11.57,1,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.02,"Trend",0.00005,14.90,2,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.04,"Trend",0.00008,17.67,3,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.08,"Trend",0.00010,20.25,4,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.12,"Trend",0.00013,23.34,5,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.16,"Trend",0.00015,27.06,6,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.19,"Trend",0.00018,31.01,7,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.22,"Trend",0.00020,35.63,8,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.24,"Trend",0.00023,41.53,9,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.25,"Trend",0.00026,46.05,10,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.27,"Trend",0.00028,49.63,11,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.28,"Trend",0.00031,52.66,12,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.29,"Trend",0.00033,55.30,13,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.30,"Trend",0.00036,57.53,14,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.32,"Trend",0.00039,59.40,15,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.36,"Trend",0.00041,61.02,16,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.42,"Trend",0.00044,65.48,17,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.46,"Trend",0.00046,70.37,18,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.48,"Trend",0.00049,74.65,19,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.51,"Trend",0.00051,78.55,20,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.53,"Trend",0.00054,82.07,21,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.55,"Trend",0.00056,85.19,22,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.58,"Trend",0.00059,88.28,23,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.61,"Trend",0.00062,91.61,24,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.64,"Trend",0.00064,95.23,25,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.67,"Trend",0.00067,99.53,26,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.70,"Trend",0.00069,103.75,27,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.73,"Trend",0.00072,107.51,28,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.75,"Trend",0.00074,111.14,29,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.78,"Trend",0.00077,114.88,30,"43-18","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.80,"Trend",0.00079,118.23,31,"43-18","Alloy 617","Plate",314626
