"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
16.81,0.00002,"Trend",,0.00,"CapPass","Cycle 1",1,1,"416-3","Alloy 617",314626,"Plate"
21.14,0.00005,"Trend",,0.03,"CapPass","Cycle 1",1,2,"416-3","Alloy 617",314626,"Plate"
24.74,0.00007,"Trend",,0.05,"CapPass","Cycle 1",1,3,"416-3","Alloy 617",314626,"Plate"
28.23,0.00010,"Trend",,0.07,"CapPass","Cycle 1",1,4,"416-3","Alloy 617",314626,"Plate"
31.74,0.00013,"Trend",,0.09,"CapPass","Cycle 1",1,5,"416-3","Alloy 617",314626,"Plate"
35.16,0.00015,"Trend",,0.12,"CapPass","Cycle 1",1,6,"416-3","Alloy 617",314626,"Plate"
38.71,0.00018,"Trend",,0.15,"CapPass","Cycle 1",1,7,"416-3","Alloy 617",314626,"Plate"
42.39,0.00020,"Trend",,0.18,"CapPass","Cycle 1",1,8,"416-3","Alloy 617",314626,"Plate"
45.73,0.00023,"Trend",,0.21,"CapPass","Cycle 1",1,9,"416-3","Alloy 617",314626,"Plate"
50.19,0.00025,"Trend",,0.25,"CapPass","Cycle 1",1,10,"416-3","Alloy 617",314626,"Plate"
54.87,0.00028,"Trend",,0.28,"CapPass","Cycle 1",1,11,"416-3","Alloy 617",314626,"Plate"
58.97,0.00030,"Trend",,0.31,"CapPass","Cycle 1",1,12,"416-3","Alloy 617",314626,"Plate"
63.08,0.00033,"Trend",,0.33,"CapPass","Cycle 1",1,13,"416-3","Alloy 617",314626,"Plate"
66.75,0.00036,"Trend",,0.36,"CapPass","Cycle 1",1,14,"416-3","Alloy 617",314626,"Plate"
70.20,0.00038,"Trend",,0.38,"CapPass","Cycle 1",1,15,"416-3","Alloy 617",314626,"Plate"
73.92,0.00041,"Trend",,0.41,"CapPass","Cycle 1",1,16,"416-3","Alloy 617",314626,"Plate"
77.27,0.00043,"Trend",,0.44,"CapPass","Cycle 1",1,17,"416-3","Alloy 617",314626,"Plate"
80.61,0.00046,"Trend",,0.47,"CapPass","Cycle 1",1,18,"416-3","Alloy 617",314626,"Plate"
84.00,0.00048,"Trend",,0.49,"CapPass","Cycle 1",1,19,"416-3","Alloy 617",314626,"Plate"
87.43,0.00051,"Trend",,0.52,"CapPass","Cycle 1",1,20,"416-3","Alloy 617",314626,"Plate"
90.79,0.00053,"Trend",,0.55,"CapPass","Cycle 1",1,21,"416-3","Alloy 617",314626,"Plate"
94.31,0.00056,"Trend",,0.58,"CapPass","Cycle 1",1,22,"416-3","Alloy 617",314626,"Plate"
97.87,0.00058,"Trend",,0.61,"CapPass","Cycle 1",1,23,"416-3","Alloy 617",314626,"Plate"
101.37,0.00061,"Trend",,0.64,"CapPass","Cycle 1",1,24,"416-3","Alloy 617",314626,"Plate"
104.93,0.00064,"Trend",,0.66,"CapPass","Cycle 1",1,25,"416-3","Alloy 617",314626,"Plate"
108.42,0.00066,"Trend",,0.69,"CapPass","Cycle 1",1,26,"416-3","Alloy 617",314626,"Plate"
111.82,0.00069,"Trend",,0.72,"CapPass","Cycle 1",1,27,"416-3","Alloy 617",314626,"Plate"
115.37,0.00071,"Trend",,0.75,"CapPass","Cycle 1",1,28,"416-3","Alloy 617",314626,"Plate"
119.05,0.00074,"Trend",,0.78,"CapPass","Cycle 1",1,29,"416-3","Alloy 617",314626,"Plate"
122.75,0.00076,"Trend",,0.80,"CapPass","Cycle 1",1,30,"416-3","Alloy 617",314626,"Plate"
126.58,0.00079,"Trend",,0.83,"CapPass","Cycle 1",1,31,"416-3","Alloy 617",314626,"Plate"
130.29,0.00081,"Trend",,0.86,"CapPass","Cycle 1",1,32,"416-3","Alloy 617",314626,"Plate"
131.62,0.00082,"Trend",,0.87,"CapPass","Cycle 1",1,33,"416-3","Alloy 617",314626,"Plate"
