"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
9.13,0.00004,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"416-4","Alloy 617",314626,"Plate"
12.77,0.00006,"Qualified",,0.06,"CapPass","Cycle 1",1,2,"416-4","Alloy 617",314626,"Plate"
16.16,0.00009,"Qualified",,0.12,"CapPass","Cycle 1",1,3,"416-4","Alloy 617",314626,"Plate"
20.66,0.00011,"Qualified",,0.18,"CapPass","Cycle 1",1,4,"416-4","Alloy 617",314626,"Plate"
25.52,0.00014,"Qualified",,0.22,"CapPass","Cycle 1",1,5,"416-4","Alloy 617",314626,"Plate"
30.73,0.00017,"Qualified",,0.25,"CapPass","Cycle 1",1,6,"416-4","Alloy 617",314626,"Plate"
34.92,0.00019,"Qualified",,0.27,"CapPass","Cycle 1",1,7,"416-4","Alloy 617",314626,"Plate"
38.36,0.00022,"Qualified",,0.29,"CapPass","Cycle 1",1,8,"416-4","Alloy 617",314626,"Plate"
41.88,0.00024,"Qualified",,0.31,"CapPass","Cycle 1",1,9,"416-4","Alloy 617",314626,"Plate"
45.37,0.00027,"Qualified",,0.33,"CapPass","Cycle 1",1,10,"416-4","Alloy 617",314626,"Plate"
48.71,0.00029,"Qualified",,0.35,"CapPass","Cycle 1",1,11,"416-4","Alloy 617",314626,"Plate"
52.31,0.00032,"Qualified",,0.38,"CapPass","Cycle 1",1,12,"416-4","Alloy 617",314626,"Plate"
55.75,0.00034,"Qualified",,0.40,"CapPass","Cycle 1",1,13,"416-4","Alloy 617",314626,"Plate"
59.36,0.00037,"Qualified",,0.43,"CapPass","Cycle 1",1,14,"416-4","Alloy 617",314626,"Plate"
63.02,0.00040,"Qualified",,0.46,"CapPass","Cycle 1",1,15,"416-4","Alloy 617",314626,"Plate"
66.55,0.00042,"Qualified",,0.50,"CapPass","Cycle 1",1,16,"416-4","Alloy 617",314626,"Plate"
70.28,0.00045,"Qualified",,0.53,"CapPass","Cycle 1",1,17,"416-4","Alloy 617",314626,"Plate"
74.06,0.00047,"Qualified",,0.56,"CapPass","Cycle 1",1,18,"416-4","Alloy 617",314626,"Plate"
78.18,0.00050,"Qualified",,0.60,"CapPass","Cycle 1",1,19,"416-4","Alloy 617",314626,"Plate"
82.47,0.00052,"Qualified",,0.64,"CapPass","Cycle 1",1,20,"416-4","Alloy 617",314626,"Plate"
86.20,0.00055,"Qualified",,0.67,"CapPass","Cycle 1",1,21,"416-4","Alloy 617",314626,"Plate"
90.09,0.00057,"Qualified",,0.70,"CapPass","Cycle 1",1,22,"416-4","Alloy 617",314626,"Plate"
94.02,0.00060,"Qualified",,0.73,"CapPass","Cycle 1",1,23,"416-4","Alloy 617",314626,"Plate"
97.82,0.00062,"Qualified",,0.76,"CapPass","Cycle 1",1,24,"416-4","Alloy 617",314626,"Plate"
101.79,0.00065,"Qualified",,0.79,"CapPass","Cycle 1",1,25,"416-4","Alloy 617",314626,"Plate"
106.07,0.00067,"Qualified",,0.83,"CapPass","Cycle 1",1,26,"416-4","Alloy 617",314626,"Plate"
106.55,0.00068,"Qualified",,0.83,"CapPass","Cycle 1",1,27,"416-4","Alloy 617",314626,"Plate"
110.06,0.00070,"Qualified",,0.86,"CapPass","Cycle 1",1,28,"416-4","Alloy 617",314626,"Plate"
114.26,0.00072,"Qualified",,0.89,"CapPass","Cycle 1",1,29,"416-4","Alloy 617",314626,"Plate"
118.44,0.00075,"Qualified",,0.92,"CapPass","Cycle 1",1,30,"416-4","Alloy 617",314626,"Plate"
122.65,0.00077,"Qualified",,0.95,"CapPass","Cycle 1",1,31,"416-4","Alloy 617",314626,"Plate"
127.21,0.00080,"Qualified",,0.98,"CapPass","Cycle 1",1,32,"416-4","Alloy 617",314626,"Plate"
131.57,0.00083,"Qualified",,1.00,"CapPass","Cycle 1",1,33,"416-4","Alloy 617",314626,"Plate"
135.58,0.00085,"Qualified",,1.02,"CapPass","Cycle 1",1,34,"416-4","Alloy 617",314626,"Plate"
139.65,0.00088,"Qualified",,1.05,"CapPass","Cycle 1",1,35,"416-4","Alloy 617",314626,"Plate"
143.81,0.00090,"Qualified",,1.07,"CapPass","Cycle 1",1,36,"416-4","Alloy 617",314626,"Plate"
147.70,0.00093,"Qualified",,1.09,"CapPass","Cycle 1",1,37,"416-4","Alloy 617",314626,"Plate"
151.72,0.00095,"Qualified",,1.11,"CapPass","Cycle 1",1,38,"416-4","Alloy 617",314626,"Plate"
155.83,0.00098,"Qualified",,1.13,"CapPass","Cycle 1",1,39,"416-4","Alloy 617",314626,"Plate"
159.85,0.00100,"Qualified",,1.16,"CapPass","Cycle 1",1,40,"416-4","Alloy 617",314626,"Plate"
163.42,0.00103,"Qualified",,1.18,"CapPass","Cycle 1",1,41,"416-4","Alloy 617",314626,"Plate"
166.75,0.00106,"Qualified",,1.20,"CapPass","Cycle 1",1,42,"416-4","Alloy 617",314626,"Plate"
169.23,0.00108,"Qualified",,1.21,"CapPass","Cycle 1",1,43,"416-4","Alloy 617",314626,"Plate"
169.71,0.00111,"Qualified",,1.23,"CapPass","Cycle 1",1,44,"416-4","Alloy 617",314626,"Plate"
169.95,0.00113,"Qualified",,1.24,"CapPass","Cycle 1",1,45,"416-4","Alloy 617",314626,"Plate"
170.29,0.00116,"Qualified",,1.24,"CapPass","Cycle 1",1,46,"416-4","Alloy 617",314626,"Plate"
170.50,0.00119,"Qualified",,1.25,"CapPass","Cycle 1",1,47,"416-4","Alloy 617",314626,"Plate"
170.64,0.00122,"Qualified",,1.25,"CapPass","Cycle 1",1,48,"416-4","Alloy 617",314626,"Plate"
170.82,0.00125,"Qualified",,1.26,"CapPass","Cycle 1",1,49,"416-4","Alloy 617",314626,"Plate"
170.96,0.00128,"Qualified",,1.26,"CapPass","Cycle 1",1,50,"416-4","Alloy 617",314626,"Plate"
171.03,0.00131,"Qualified",,1.26,"CapPass","Cycle 1",1,51,"416-4","Alloy 617",314626,"Plate"
171.08,0.00134,"Qualified",,1.27,"CapPass","Cycle 1",1,52,"416-4","Alloy 617",314626,"Plate"
171.05,0.00137,"Qualified",,1.27,"CapPass","Cycle 1",1,53,"416-4","Alloy 617",314626,"Plate"
171.04,0.00139,"Qualified",,1.28,"CapPass","Cycle 1",1,54,"416-4","Alloy 617",314626,"Plate"
170.96,0.00142,"Qualified",,1.28,"CapPass","Cycle 1",1,55,"416-4","Alloy 617",314626,"Plate"
170.85,0.00145,"Qualified",,1.28,"CapPass","Cycle 1",1,56,"416-4","Alloy 617",314626,"Plate"
170.63,0.00148,"Qualified",,1.29,"CapPass","Cycle 1",1,57,"416-4","Alloy 617",314626,"Plate"
170.41,0.00150,"Qualified",,1.29,"CapPass","Cycle 1",1,58,"416-4","Alloy 617",314626,"Plate"
169.92,0.00153,"Qualified",,1.30,"CapPass","Cycle 1",1,59,"416-4","Alloy 617",314626,"Plate"
169.08,0.00156,"Qualified",,1.31,"CapPass","Cycle 1",1,60,"416-4","Alloy 617",314626,"Plate"
166.69,0.00158,"Qualified",,1.32,"CapPass","Cycle 1",1,61,"416-4","Alloy 617",314626,"Plate"
158.82,0.00156,"Qualified",,1.36,"CapPass","Cycle 1",1,62,"416-4","Alloy 617",314626,"Plate"
155.61,0.00153,"Qualified",,1.37,"CapPass","Cycle 1",1,63,"416-4","Alloy 617",314626,"Plate"
152.70,0.00151,"Qualified",,1.39,"CapPass","Cycle 1",1,64,"416-4","Alloy 617",314626,"Plate"
150.44,0.00148,"Qualified",,1.41,"CapPass","Cycle 1",1,65,"416-4","Alloy 617",314626,"Plate"
158.46,0.00151,"Qualified",,1.56,"CapPass","Cycle 1",1,66,"416-4","Alloy 617",314626,"Plate"
161.95,0.00153,"Qualified",,1.59,"CapPass","Cycle 1",1,67,"416-4","Alloy 617",314626,"Plate"
165.34,0.00156,"Qualified",,1.62,"CapPass","Cycle 1",1,68,"416-4","Alloy 617",314626,"Plate"
168.67,0.00158,"Qualified",,1.64,"CapPass","Cycle 1",1,69,"416-4","Alloy 617",314626,"Plate"
172.09,0.00161,"Qualified",,1.67,"CapPass","Cycle 1",1,70,"416-4","Alloy 617",314626,"Plate"
175.54,0.00164,"Qualified",,1.70,"CapPass","Cycle 1",1,71,"416-4","Alloy 617",314626,"Plate"
169.16,0.00166,"Qualified",,1.73,"CapPass","Cycle 1",1,72,"416-4","Alloy 617",314626,"Plate"
171.73,0.00169,"Qualified",,1.74,"CapPass","Cycle 1",1,73,"416-4","Alloy 617",314626,"Plate"
172.92,0.00171,"Qualified",,1.75,"CapPass","Cycle 1",1,74,"416-4","Alloy 617",314626,"Plate"
174.14,0.00174,"Qualified",,1.76,"CapPass","Cycle 1",1,75,"416-4","Alloy 617",314626,"Plate"
174.73,0.00177,"Qualified",,1.78,"CapPass","Cycle 1",1,76,"416-4","Alloy 617",314626,"Plate"
174.59,0.00179,"Qualified",,1.79,"CapPass","Cycle 1",1,77,"416-4","Alloy 617",314626,"Plate"
174.36,0.00182,"Qualified",,1.79,"CapPass","Cycle 1",1,78,"416-4","Alloy 617",314626,"Plate"
174.26,0.00185,"Qualified",,1.80,"CapPass","Cycle 1",1,79,"416-4","Alloy 617",314626,"Plate"
174.22,0.00187,"Qualified",,1.80,"CapPass","Cycle 1",1,80,"416-4","Alloy 617",314626,"Plate"
174.22,0.00190,"Qualified",,1.80,"CapPass","Cycle 1",1,81,"416-4","Alloy 617",314626,"Plate"
174.32,0.00194,"Qualified",,1.81,"CapPass","Cycle 1",1,82,"416-4","Alloy 617",314626,"Plate"
174.27,0.00197,"Qualified",,1.81,"CapPass","Cycle 1",1,83,"416-4","Alloy 617",314626,"Plate"
174.14,0.00200,"Qualified",,1.82,"CapPass","Cycle 1",1,84,"416-4","Alloy 617",314626,"Plate"
174.13,0.00203,"Qualified",,1.82,"CapPass","Cycle 1",1,85,"416-4","Alloy 617",314626,"Plate"
173.99,0.00205,"Qualified",,1.82,"CapPass","Cycle 1",1,86,"416-4","Alloy 617",314626,"Plate"
173.71,0.00208,"Qualified",,1.83,"CapPass","Cycle 1",1,87,"416-4","Alloy 617",314626,"Plate"
