"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
2,"CapPass",".",-190.74,,"Trend",".",".",18.22,"416-3",1,"Alloy 617","Plate",314626
3,"CapPass",194.78,-194.92,,"Trend",0.999,23.94,29.32,"416-3",2,"Alloy 617","Plate",314626
4,"CapPass",201.36,-202.82,,"Trend",0.993,34.83,40.61,"416-3",3,"Alloy 617","Plate",314626
5,"CapPass",205.69,-206.69,,"Trend",0.995,46.59,52.36,"416-3",4,"Alloy 617","Plate",314626
6,"CapPass",212.07,-214.51,,"Trend",0.989,58.86,64.98,"416-3",5,"Alloy 617","Plate",314626
7,"CapPass",213.95,-216.05,,"Trend",0.990,70.47,76.58,"416-3",6,"Alloy 617","Plate",314626
8,"CapPass",218.70,-220.35,,"Trend",0.993,82.74,88.82,"416-3",7,"Alloy 617","Plate",314626
9,"CapPass",220.93,-221.58,,"Trend",0.997,94.53,100.74,"416-3",8,"Alloy 617","Plate",314626
10,"CapPass",221.13,-219.28,,"Trend",1.008,106.71,112.39,"416-3",9,"Alloy 617","Plate",314626
11,"CapPass",222.14,-217.38,,"Trend",1.022,118.86,124.45,"416-3",10,"Alloy 617","Plate",314626
12,"CapPass",222.34,-224.06,,"Trend",0.992,130.29,136.99,"416-3",11,"Alloy 617","Plate",314626
13,"CapPass",229.65,-228.59,,"Trend",1.005,142.82,148.77,"416-3",12,"Alloy 617","Plate",314626
14,"CapPass",229.45,-225.63,,"Trend",1.017,154.96,159.96,"416-3",13,"Alloy 617","Plate",314626
15,"CapPass",228.78,-228.86,,"Trend",1.000,166.94,172.88,"416-3",14,"Alloy 617","Plate",314626
16,"CapPass",229.89,-230.40,,"Trend",0.998,178.80,184.97,"416-3",15,"Alloy 617","Plate",314626
17,"CapPass",232.05,-228.25,,"Trend",1.017,190.45,196.57,"416-3",16,"Alloy 617","Plate",314626
18,"CapPass",228.52,-232.05,,"Trend",0.985,202.23,208.62,"416-3",17,"Alloy 617","Plate",314626
19,"CapPass",230.16,-230.63,,"Trend",0.998,215.09,220.76,"416-3",18,"Alloy 617","Plate",314626
20,"CapPass",234.94,-229.80,,"Trend",1.022,226.71,232.47,"416-3",19,"Alloy 617","Plate",314626
