"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
7.47,0.00002,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"416-8","Alloy 617",314626,"Plate"
11.53,0.00005,"Qualified",,0.04,"CapPass","Cycle 1",1,2,"416-8","Alloy 617",314626,"Plate"
15.64,0.00007,"Qualified",,0.07,"CapPass","Cycle 1",1,3,"416-8","Alloy 617",314626,"Plate"
19.75,0.00010,"Qualified",,0.10,"CapPass","Cycle 1",1,4,"416-8","Alloy 617",314626,"Plate"
23.04,0.00012,"Qualified",,0.14,"CapPass","Cycle 1",1,5,"416-8","Alloy 617",314626,"Plate"
25.94,0.00015,"Qualified",,0.26,"CapPass","Cycle 1",1,6,"416-8","Alloy 617",314626,"Plate"
31.64,0.00017,"Qualified",,0.32,"CapPass","Cycle 1",1,7,"416-8","Alloy 617",314626,"Plate"
37.66,0.00020,"Qualified",,0.35,"CapPass","Cycle 1",1,8,"416-8","Alloy 617",314626,"Plate"
43.84,0.00023,"Qualified",,0.37,"CapPass","Cycle 1",1,9,"416-8","Alloy 617",314626,"Plate"
48.80,0.00025,"Qualified",,0.39,"CapPass","Cycle 1",1,10,"416-8","Alloy 617",314626,"Plate"
52.71,0.00028,"Qualified",,0.40,"CapPass","Cycle 1",1,11,"416-8","Alloy 617",314626,"Plate"
56.25,0.00030,"Qualified",,0.42,"CapPass","Cycle 1",1,12,"416-8","Alloy 617",314626,"Plate"
59.60,0.00033,"Qualified",,0.43,"CapPass","Cycle 1",1,13,"416-8","Alloy 617",314626,"Plate"
62.84,0.00036,"Qualified",,0.44,"CapPass","Cycle 1",1,14,"416-8","Alloy 617",314626,"Plate"
66.05,0.00038,"Qualified",,0.46,"CapPass","Cycle 1",1,15,"416-8","Alloy 617",314626,"Plate"
69.19,0.00041,"Qualified",,0.47,"CapPass","Cycle 1",1,16,"416-8","Alloy 617",314626,"Plate"
72.45,0.00044,"Qualified",,0.50,"CapPass","Cycle 1",1,17,"416-8","Alloy 617",314626,"Plate"
75.59,0.00046,"Qualified",,0.52,"CapPass","Cycle 1",1,18,"416-8","Alloy 617",314626,"Plate"
78.78,0.00049,"Qualified",,0.54,"CapPass","Cycle 1",1,19,"416-8","Alloy 617",314626,"Plate"
82.28,0.00051,"Qualified",,0.58,"CapPass","Cycle 1",1,20,"416-8","Alloy 617",314626,"Plate"
85.75,0.00054,"Qualified",,0.61,"CapPass","Cycle 1",1,21,"416-8","Alloy 617",314626,"Plate"
89.45,0.00056,"Qualified",,0.64,"CapPass","Cycle 1",1,22,"416-8","Alloy 617",314626,"Plate"
93.43,0.00059,"Qualified",,0.68,"CapPass","Cycle 1",1,23,"416-8","Alloy 617",314626,"Plate"
97.29,0.00061,"Qualified",,0.71,"CapPass","Cycle 1",1,24,"416-8","Alloy 617",314626,"Plate"
100.63,0.00064,"Qualified",,0.74,"CapPass","Cycle 1",1,25,"416-8","Alloy 617",314626,"Plate"
103.87,0.00066,"Qualified",,0.76,"CapPass","Cycle 1",1,26,"416-8","Alloy 617",314626,"Plate"
107.12,0.00069,"Qualified",,0.79,"CapPass","Cycle 1",1,27,"416-8","Alloy 617",314626,"Plate"
110.44,0.00072,"Qualified",,0.82,"CapPass","Cycle 1",1,28,"416-8","Alloy 617",314626,"Plate"
113.85,0.00074,"Qualified",,0.85,"CapPass","Cycle 1",1,29,"416-8","Alloy 617",314626,"Plate"
113.94,0.00074,"Qualified",,0.85,"CapPass","Cycle 1",1,30,"416-8","Alloy 617",314626,"Plate"
117.42,0.00077,"Qualified",,0.88,"CapPass","Cycle 1",1,31,"416-8","Alloy 617",314626,"Plate"
121.15,0.00079,"Qualified",,0.92,"CapPass","Cycle 1",1,32,"416-8","Alloy 617",314626,"Plate"
125.16,0.00082,"Qualified",,0.95,"CapPass","Cycle 1",1,33,"416-8","Alloy 617",314626,"Plate"
128.95,0.00084,"Qualified",,0.98,"CapPass","Cycle 1",1,34,"416-8","Alloy 617",314626,"Plate"
